page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,IATA（空港コード）,ICAO（空港コード）,別名,名前の謂れ,名称由来人物の地位職業名,国,年間利用客数,年間利用者数データの年,年間発着回数,年間発着回数データの年,座標・経度,座標・緯度,所在地,旧称,標高,母都市,滑走路の長さ,滑走路数,総面積,読み,近隣空港,運営者,運用時間,開港年
4189,南紀白浜空港,105893,26473,False,1,37,1,1,4,0,0,1,1,1,0,0,4,4,6,0,1,0,4,1,1,1,0,3,1,2
4190,羽田空港 (大田区),66831,16112,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
7057,新千歳空港,221345,65064,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
10976,能登空港,96034,21831,False,2,29,1,1,4,0,0,1,1,1,0,0,4,4,3,0,2,0,2,0,0,1,0,1,1,2
12766,サンフランシスコ国際空港,104856,28197,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
13683,横田飛行場,147595,43287,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
14939,神戸空港,244236,71271,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
16388,名古屋飛行場,176279,45612,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
18257,喜界空港,64459,10894,False,1,22,1,0,2,0,0,1,1,1,0,0,4,4,3,0,2,0,1,0,0,1,0,1,0,0
24895,三沢飛行場,131905,32265,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
27119,旭川空港,94068,19428,False,2,29,1,1,2,0,0,1,2,1,0,0,4,4,3,0,2,0,3,0,1,1,0,0,1,2
31781,鳥取空港,116518,19191,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
31783,美保飛行場,130571,26221,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
31785,出雲空港,79974,16850,False,2,33,1,1,8,0,0,1,0,0,0,0,4,4,2,0,2,0,3,0,1,2,0,1,1,2
31789,隠岐空港,64361,12315,False,1,31,1,1,4,0,0,1,1,1,0,0,4,4,4,0,2,0,3,0,0,1,0,1,1,2
31794,石見空港,85145,19569,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
33200,奄美空港,82971,16851,False,1,30,1,1,2,0,0,1,2,2,0,0,4,4,4,0,2,0,2,0,1,1,0,1,0,2
36487,ブリュッセル空港,61342,13690,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
37133,シカゴ・オヘア国際空港,95987,26877,False,1,35,1,1,3,1,1,2,1,1,0,0,4,4,3,1,2,0,6,1,0,1,0,1,0,1
39752,フランクフルト・ハーン空港,61631,15296,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
41622,秋田空港,123599,28656,False,1,37,1,1,2,0,0,1,2,2,0,0,4,4,7,2,2,0,3,0,1,1,0,1,1,2
41644,大館能代空港,123163,29816,False,2,30,1,1,4,0,0,1,1,1,0,0,4,4,4,0,2,0,2,0,0,1,0,1,1,2
45385,大阪空港,22124,6096,True,0,,,,,,,,,,,,,,,,,,,,,,,,,
46258,大阪国際空港,516517,175689,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
48531,新潟空港,175233,46592,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
50218,中標津空港,86067,18981,False,1,34,1,1,5,0,0,2,1,1,0,0,4,4,4,2,2,0,2,0,0,1,0,1,1,2
52483,ロンドン・ガトウィック空港,132040,27640,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
54685,広島空港,199829,44796,False,3,44,1,1,2,0,0,1,1,1,0,0,4,4,6,7,2,0,2,0,1,1,5,1,1,3
54687,岡山空港,117969,28482,False,1,34,1,1,2,0,0,1,1,1,0,0,4,4,4,0,2,0,3,0,1,1,3,1,1,3
54688,山口宇部空港,115066,26722,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
54921,普天間飛行場,105625,39919,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
