page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,公園,別名,動物,名前の謂れ,国,国内位置,属する海域,属する湾,島,幅,平均水深,座標・経度,座標・緯度,形成時期,所在地,最大水深,構成する湾,橋・トンネル,水深,氷結時期,河川,海岸線の長さ,港,湾口幅,観光地,読み,長さ,面積
2992,駿河湾,67777,18132,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4312,東京湾,82775,24951,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6042,大阪湾,55419,16339,False,0,62,0,8,6,0,1,0,8,0,2,1,0,0,0,0,6,0,0,1,0,0,10,0,12,0,5,1,1,0
15087,江戸湾,28509,9048,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18599,紅海,54710,12493,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19538,金角湾,37160,13683,False,0,19,0,5,1,1,1,0,1,0,0,0,0,2,2,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0
24479,鹿児島湾,47301,15014,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31550,アカバ湾,50666,10849,False,0,23,0,5,0,0,6,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,2,1,0,0
48686,ギニア湾,47715,9965,False,0,20,0,2,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0
53020,相模湾,55485,14827,False,2,58,0,0,18,0,1,0,3,0,0,0,0,0,0,0,21,1,0,0,5,0,4,0,4,0,0,1,0,0
53733,フィンランド湾,52741,11011,False,0,21,0,4,0,0,6,0,1,0,1,1,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,1
80166,舞鶴湾,24563,7085,False,0,12,0,1,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,2,1,0,0
83760,ハロン湾,41612,9680,False,1,20,0,5,0,0,1,1,0,1,2,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1
84922,伊勢湾,46008,13553,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92411,諫早湾,37930,9806,False,0,40,0,1,12,0,0,0,3,0,0,0,0,2,2,0,8,0,0,0,0,0,10,0,0,0,0,1,0,1
96086,タイランド湾,59295,13450,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98930,三河湾,41501,10248,False,0,70,0,0,2,0,0,0,0,1,19,0,1,0,0,0,7,0,2,0,0,0,14,0,9,0,13,1,0,1
103435,大村湾,47622,14862,False,0,121,6,2,47,0,0,0,0,7,7,1,1,0,0,1,10,1,7,5,0,0,11,0,4,0,8,1,1,1
108238,英虞湾,39035,11591,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125485,メキシコ湾,53289,12045,False,0,30,0,2,3,0,9,0,5,0,0,1,0,0,0,1,3,1,3,0,0,0,0,0,0,0,0,1,0,1
142421,サンフランシスコ湾,47576,14041,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149552,ペルシア湾,57370,12634,False,0,40,0,15,0,0,16,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,1
158796,シャーク湾,45100,11470,False,1,37,6,3,11,0,1,1,0,0,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
159627,陸奥湾,32991,9677,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163914,ミルフォード・サウンド,64248,26345,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170954,石狩湾,34656,10426,False,0,26,0,0,16,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0
176709,富山湾,48500,15665,False,0,76,1,2,20,0,1,0,1,0,8,0,0,0,0,0,17,1,0,0,1,0,10,0,5,0,8,1,0,0
184717,ベンガル湾,51092,10616,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189709,博多湾,61254,19105,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190709,カーペンタリア湾,49746,11178,False,0,20,0,1,0,1,1,1,1,0,3,1,0,2,2,0,1,1,0,0,1,0,2,0,0,0,0,1,1,0
190819,白海,50574,10972,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191589,ハドソン湾,73264,21361,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191623,バフィン湾,49094,10504,False,0,12,0,1,0,2,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0
198161,オビ湾,26501,7156,False,0,15,0,0,0,0,1,0,2,0,0,1,0,2,2,0,2,0,1,0,0,0,3,0,0,0,0,0,1,0
200460,カリフォルニア湾,68380,13730,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200479,ジョセフ・ボナパルト湾,24731,6581,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200494,パプア湾,22132,5992,False,0,9,0,1,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
201655,マニラ湾,23420,6559,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203760,コリンティアコス湾,32985,8606,False,1,40,0,10,0,1,4,1,4,0,0,3,0,4,4,0,5,0,0,1,0,0,0,0,0,0,0,0,3,0
204102,ホンジュラス湾,24864,6758,False,0,11,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0
204106,ジョージア湾,26397,6847,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204185,ベニン湾,27467,6976,False,0,10,0,1,0,0,5,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
204706,サンホルヘ湾,22837,6105,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204715,クック湾,26091,7227,False,0,8,0,1,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
204727,ベネズエラ湾,44553,9160,False,0,10,0,1,0,0,2,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
204735,ペガサス湾,24550,6724,False,0,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
204771,ポートフィリップ湾,33162,9291,False,0,25,0,1,10,1,3,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,1,0,1,0,0,0
204823,サンタカタリナ湾,27978,7326,False,0,10,0,1,0,0,1,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
204830,サンペドロ湾 (アメリカ),22960,6031,False,0,11,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,1,0,0,0
206056,カラ・ボガス・ゴル湾,35833,10002,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206077,バタバノ湾,22186,5977,False,0,6,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206941,チェサピーク湾,27275,7408,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207013,モロ湾,44661,9531,False,0,18,0,1,0,0,1,1,2,0,0,0,0,2,2,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0
