page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,与党・支持基盤,別名,前内閣,国,成立年,成立直前の選挙,条約,次内閣,歴代の元首・首班,歴代閣僚,解散年,読み,首班の地位職業
15611,宇野内閣,72504,14494,False,1,45,5,2,3,1,2,0,0,0,4,20,0,1,7
19096,第1次小泉内閣 (第2次改造),79681,15177,False,1,65,17,4,1,1,2,1,0,1,3,30,0,0,5
29830,第2次小泉内閣,78342,14433,False,1,52,16,0,2,1,2,1,0,0,4,18,2,1,5
145094,第2次小泉内閣 (改造),79373,14636,False,1,44,6,4,1,1,2,0,0,0,4,19,2,0,5
161366,第1次小泉内閣,84409,16432,False,1,52,17,0,0,1,2,0,0,0,3,21,2,1,5
161429,第1次小泉内閣 (第1次改造),76584,13876,False,1,46,12,2,1,1,2,0,0,0,3,20,2,0,3
168974,第2次森改造内閣,21649,6200,True,0,,,,,,,,,,,,,,
169035,第2次森内閣 (改造 中央省庁再編後),80986,14231,False,1,43,9,3,1,1,2,0,0,0,3,21,0,0,3
169087,第2次森内閣 (改造 中央省庁再編前),75975,14805,False,1,52,11,3,1,1,2,0,0,0,3,26,2,0,3
169223,第2次森内閣,75009,14507,False,1,55,14,2,1,1,2,0,0,0,3,27,0,1,4
169228,第1次森内閣,77440,14564,False,1,53,16,0,2,1,2,0,0,1,4,21,0,1,5
169229,森内閣,21507,6101,True,0,,,,,,,,,,,,,,
183344,第1次伊藤内閣,89763,22240,False,1,64,18,0,0,2,3,0,0,0,5,26,3,1,6
183347,黒田内閣,76556,17020,False,1,53,0,0,0,1,3,0,1,6,4,28,3,1,6
183355,濱口内閣,72095,16768,False,1,49,8,0,0,1,2,0,1,0,4,22,2,1,8
216859,細川内閣,123995,31264,False,1,112,68,0,1,1,3,1,0,0,4,26,3,1,4
224044,小渕内閣,60629,11279,False,1,52,16,0,0,1,2,0,0,0,4,23,2,1,3
224049,小渕内閣 (第1次改造),59310,10728,False,1,38,7,2,1,1,2,0,0,0,3,20,0,0,2
224051,小渕内閣 (第2次改造),81690,17159,False,1,69,17,2,1,1,2,3,0,0,6,24,2,0,11
258976,東條内閣,84606,21295,False,1,73,5,2,1,2,2,0,0,0,4,33,2,1,21
281567,平沼内閣,76462,18501,False,1,47,9,0,7,1,2,0,0,0,4,16,1,1,6
281926,林内閣,72255,16136,False,1,71,10,3,1,1,3,0,0,0,6,30,1,1,15
281938,廣田内閣,85872,19533,False,1,80,12,2,1,1,4,0,1,0,6,37,4,1,11
282981,第1次近衛内閣,92934,22124,False,1,98,22,0,0,1,3,0,0,0,5,51,3,1,12
284556,東久邇宮内閣,91396,22573,False,1,78,16,1,3,2,3,0,0,1,5,26,3,1,17
289068,第1次大隈内閣,73108,13973,False,1,55,12,4,1,3,3,0,0,0,4,16,1,1,10
292824,第1次山縣内閣,69222,12765,False,1,45,5,0,1,2,3,0,0,0,3,18,3,1,9
292828,第1次松方内閣,76172,14987,False,1,47,0,2,1,1,3,0,0,0,4,22,3,1,10
292968,第2次伊藤内閣,119399,34896,False,1,123,38,1,1,1,3,0,5,1,7,49,3,1,13
293477,第2次松方内閣,84627,16452,False,1,50,11,2,0,1,3,0,0,0,3,20,3,1,6
293494,第3次伊藤内閣,77449,16353,False,1,45,13,0,0,1,3,0,1,2,4,16,0,1,4
293710,第2次山縣内閣,61786,11331,False,1,29,4,0,0,2,2,0,0,0,3,11,2,1,4
293726,第4次伊藤内閣,74576,15480,False,1,46,8,0,0,1,2,0,0,1,6,20,2,1,5
294489,第1次桂内閣,70406,15754,False,1,42,3,1,1,1,3,0,3,0,4,18,2,1,5
294500,第1次西園寺内閣,63236,13311,False,1,51,7,0,0,1,3,0,3,0,3,23,2,1,8
296880,村山内閣,75146,13808,False,1,,,,,,,,,,,,,,
297124,芦田内閣,70781,18138,False,1,66,6,0,4,1,2,1,0,2,7,26,2,1,14
297394,村山内閣 (改造),67539,13717,False,1,54,12,2,1,1,3,0,0,0,4,24,2,0,5
297415,幣原内閣,98144,22307,False,1,100,36,0,1,1,3,0,0,0,5,44,2,1,7
297478,第1次吉田内閣,84267,22670,False,1,73,22,1,1,1,4,1,0,0,2,25,2,1,13
297506,片山内閣,83934,19870,False,1,67,21,0,0,1,3,1,0,0,3,24,2,1,11
300435,第1次中曽根内閣,68915,12435,False,1,35,2,1,0,1,2,0,0,0,3,21,2,1,2
300445,鈴木善幸内閣,58520,10589,False,1,34,0,0,0,1,2,0,0,0,3,23,2,1,2
305199,鈴木貫太郎内閣,80821,22151,False,1,68,14,0,3,1,2,0,4,0,5,25,0,1,13
308736,阿部内閣,81620,17775,False,1,61,13,0,1,2,2,0,0,0,4,27,2,1,9
308744,米内内閣,86221,21140,False,1,69,10,0,1,2,4,0,0,0,4,32,2,1,13
308751,第2次近衛内閣,70582,14257,False,1,59,9,0,2,1,2,0,2,0,4,28,2,1,8
311863,第3次近衛内閣,62435,14756,False,1,55,8,0,10,1,2,0,0,0,3,22,2,1,6
312438,岡田内閣,94363,23290,False,1,91,13,0,4,1,3,0,0,0,7,47,3,1,12
320564,ヒトラー内閣,115529,28659,False,1,176,38,0,1,6,3,1,0,2,24,81,2,1,17
329010,第3次小泉内閣,74317,12850,False,1,41,12,0,1,1,2,1,0,0,3,17,0,1,3
334938,第2次橋本内閣,59609,10576,False,1,41,7,0,0,1,2,1,0,0,3,22,2,1,2
347472,第1次橋本内閣,60837,10862,False,1,50,19,0,1,1,2,0,0,0,3,21,0,1,2
357968,第3次小泉内閣 (改造),78857,15028,False,1,53,12,3,1,1,2,0,0,0,5,21,2,0,6
361180,羽田内閣,100103,19454,False,1,127,55,1,1,3,3,0,0,0,4,23,3,1,33
371637,第2次中曽根内閣,67272,12876,False,1,48,9,2,0,1,2,1,0,0,3,24,2,1,3
371691,第2次中曽根内閣 (第1次改造),60130,10597,False,1,36,2,2,0,1,2,0,0,0,3,22,2,0,2
371708,第2次中曽根内閣 (第2次改造),61771,10600,False,1,36,2,2,1,1,2,0,0,0,3,21,2,0,2
371727,第3次中曽根内閣,73847,14028,False,1,48,8,0,0,2,2,1,0,0,3,24,2,1,5
372615,第2次吉田内閣,62906,12361,False,1,64,1,0,0,1,2,0,0,0,10,28,2,1,19
372694,第3次吉田内閣,69969,14182,False,1,33,2,0,0,1,2,0,0,0,3,19,2,1,3
