page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,コーポレートスローガン,中核企業,代表者,別名,前身組織,創業国,創業地,創業者,合併組織,売上高,売上高データの年,後継組織,従業員数,従業員数データの年,持株会社,本拠地,本拠地国,株主,業界,業界内地位・規模,構成組織,種類,解散年,設立年,読み,資本金,資本金データの年,起源
3586,JR,151305,35530,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009,NECグループ,124522,30653,False,0,216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,1,0,0,0,0,0,0
27680,DDIセルラーグループ,242357,46868,False,0,29,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,3,0,14,1,2,1,1,0,0,1
30937,研音グループ,119959,25151,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35430,イオングループ,221796,70186,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35456,マツモトキヨシグループ,49954,18465,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35608,HMV,76569,22794,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38188,パナソニックグループ,178098,48525,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38189,NTTグループ,122792,30615,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39680,近鉄グループ,206826,43644,False,1,178,0,2,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,9,0,154,2,0,0,1,0,0,0
49356,TBS系列,89127,17018,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49657,フジテレビ系列,83502,14808,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49681,日本テレビ系列,79963,15550,False,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,1,0,0,0
49830,三菱グループ,84795,28297,False,1,131,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119,2,0,0,1,0,0,1
49870,住友グループ,84787,26627,False,1,185,5,7,0,0,1,0,1,1,6,0,0,0,0,0,2,1,0,0,1,0,155,2,0,0,1,0,0,2
49933,三井グループ,112585,27576,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52152,アルピコグループ,59336,20560,False,1,151,1,4,0,0,0,0,0,0,29,0,0,0,0,0,4,0,0,6,24,0,82,1,0,0,0,0,0,0
52824,小田急グループ,105373,20399,False,1,133,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,14,0,111,1,0,0,1,0,0,0
64555,フィアット,133399,35779,False,1,177,1,0,4,8,0,0,2,3,13,0,0,0,1,0,4,4,8,4,19,3,99,2,0,2,0,0,0,0
69560,ベネトン,60256,19525,False,0,15,0,0,2,1,0,0,1,3,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,2,0,0,0,0
69697,みずほグループ,23713,6826,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70104,トーマス・クック・グループ,45024,13285,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72238,芙蓉グループ,103822,31824,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72239,安田財閥,55167,18975,False,0,92,0,2,0,1,0,0,1,2,15,0,0,3,0,0,0,0,2,0,9,2,48,3,2,0,1,0,0,1
75457,雄図グループ,27357,8426,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83971,ネーション・マルチメディア・グループ,26608,6989,False,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,4,1,0,0,0,0,0,0
91440,三菱財閥,78135,28011,False,1,108,0,12,1,0,0,0,2,2,3,0,0,5,0,0,1,1,1,0,24,0,41,12,0,0,1,0,0,2
98760,第一勧銀グループ,70267,14311,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98761,興銀グループ,37945,9160,False,0,97,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,1,0,0,0
99408,セゾングループ,178554,55149,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100531,渋沢財閥,72137,16748,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100537,住友財閥,63405,26118,False,1,86,0,0,0,0,0,0,3,4,0,0,0,5,0,0,3,0,1,0,20,1,37,5,1,0,1,0,0,5
100546,浅野財閥,26606,7867,False,0,45,0,3,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,0,2,1,27,1,0,2,1,0,0,1
100550,日産コンツェルン,127687,32524,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100552,森コンツェルン,29755,8868,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100555,日窒コンツェルン,63321,21131,False,0,98,0,5,3,1,0,0,0,2,5,0,0,0,0,0,0,1,0,0,5,4,65,4,0,2,1,0,0,0
100559,日曹コンツェルン,21255,6080,False,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,0,0,1
100569,古河財閥,170002,61247,False,1,353,0,2,0,0,0,0,0,33,9,0,0,36,0,0,6,0,0,0,29,2,218,8,1,6,1,0,0,2
102842,クーン・ローブ,33819,9822,False,0,15,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1
102844,メロン財閥,27234,7836,False,0,24,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,7,1,7,1,0,1,1,0,0,1
104242,トヨタグループ,99446,32355,False,0,364,5,5,0,0,0,0,0,4,5,0,0,0,0,0,0,2,0,5,19,0,313,5,0,1,0,0,0,0
104257,UFJグループ,44801,10767,False,0,107,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,99,1,1,0,1,0,0,0
106749,ソニーグループ,130098,20736,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106854,ソニーフィナンシャルホールディングス,115863,18361,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107402,京成グループ,115200,22431,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107407,ボルボ,110704,26812,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108788,一ツ橋グループ,89048,20203,False,0,174,0,2,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,29,1,0,130,1,0,0,1,0,0,0
108792,鈴木商店,62264,21471,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110095,LVMH,104877,23927,False,1,37,0,0,1,6,0,0,0,0,2,1,1,0,1,1,0,2,2,0,2,1,11,2,0,2,1,0,0,1
112945,西武グループ,114287,31094,False,1,84,1,2,0,0,1,0,0,1,2,0,0,0,0,0,3,2,1,0,3,0,65,2,0,0,1,0,0,0
113073,京王グループ,80606,17373,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117468,バンダイナムコグループ,77494,19197,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117733,阪急東宝グループ,33355,11076,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117835,理研グループ,58913,13182,False,0,52,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,1,0,0,1
119960,アルトリア,56652,12978,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121251,大宇財閥,31955,8407,False,1,32,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,13,3,2,0,4,0,0,0
122350,名鉄グループ,100764,21696,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124075,横河グループ,32374,9838,False,1,42,0,4,0,0,0,0,0,2,1,0,0,0,0,0,4,0,2,0,0,0,25,2,0,0,1,0,0,1
126823,BMG,36040,10678,False,0,44,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,1,1,1,2,1,25,1,2,1,1,0,0,1
126880,ゼネラル・エレクトリック,235348,50958,False,1,153,0,0,1,19,1,0,0,1,23,1,1,0,1,1,1,2,2,3,16,2,70,2,0,2,0,1,1,2
133777,山日YBSグループ,58949,13293,False,0,41,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,2,0,25,1,0,2,1,0,0,1
135936,相鉄グループ,51733,12220,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136675,サムスングループ,80511,25231,False,2,139,0,0,7,11,0,0,1,3,0,1,1,0,1,1,1,1,1,0,19,2,79,4,0,2,1,1,1,1
145239,サバンジュ財閥,28429,8053,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148129,コチ財閥,26038,7617,False,0,35,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,0,1,0,5,1,19,1,0,0,0,0,0,0
148170,オヤック財閥,22833,6785,False,0,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,1,8,2,0,1,0,0,0,1
149787,ヘテ,31668,9466,False,1,21,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,10,2,0,1,0,0,0,0
151733,ニューズ・コーポレーション (1979-2013),92128,29326,False,1,177,0,0,12,5,6,5,3,1,9,1,1,17,0,0,1,3,8,7,10,2,76,1,2,6,0,0,0,1
158293,VJA,84478,23336,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161017,フォルクスワーゲングループ,100940,33726,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162758,モルガン・スタンレー,149128,34170,False,1,87,0,0,1,1,6,0,0,1,3,1,1,0,1,1,2,3,2,8,1,2,45,2,0,3,0,1,1,1
163290,社台グループ,64836,16967,False,0,65,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,2,51,2,0,1,1,0,0,1
168828,ゴールデン・ハーベスト,55578,16065,False,2,44,0,0,1,22,0,1,1,7,0,0,0,0,0,0,0,2,0,2,3,0,1,2,0,2,0,0,0,0
