page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,CAS番号,別称,化学式,原材料,商標名,密度,沸点,特性,生成化合物,用途,示性式,種類,融点,製造方法,読み
1732,水,216153,68879,False,1,,,,,,,,,,,,,,,,
1761,β-カロテン,42422,10036,False,1,,,,,,,,,,,,,,,,
6800,塩化ナトリウム,58746,12712,False,1,,,,,,,,,,,,,,,,
6934,二酸化ケイ素,118105,24403,False,1,,,,,,,,,,,,,,,,
6958,二酸化炭素,76575,20340,False,1,,,,,,,,,,,,,,,,
7370,液体水素,35801,12353,False,0,,,,,,,,,,,,,,,,
8129,二ホウ化マグネシウム,46198,11093,False,1,,,,,,,,,,,,,,,,
8275,窒化ホウ素,64592,18981,False,1,,,,,,,,,,,,,,,,
8644,銅酸化物,18950,5277,False,0,,,,,,,,,,,,,,,,
9646,フッ化水素,65209,15335,False,1,,,,,,,,,,,,,,,,
9861,炭酸カルシウム,60806,13325,False,1,,,,,,,,,,,,,,,,
9950,モノメチルヒドラジン,33273,8359,False,1,,,,,,,,,,,,,,,,
9951,非対称ジメチルヒドラジン,48822,11155,False,1,,,,,,,,,,,,,,,,
10014,四酸化二窒素,61472,13813,False,1,,,,,,,,,,,,,,,,
10166,アンモニア,125393,30762,False,1,66,1,4,8,0,0,1,3,29,1,9,0,4,3,3,0
10434,クロロエチレン,33799,10425,False,1,,,,,,,,,,,,,,,,
10738,アスコルビン酸,59452,13104,False,1,,,,,,,,,,,,,,,,
10740,ビタミンC,149345,38113,False,1,,,,,,,,,,,,,,,,
11006,メタン,88829,21319,False,1,57,2,19,9,1,0,2,3,4,9,3,0,1,3,1,0
11047,窒化ガリウム,38159,10293,False,0,,,,,,,,,,,,,,,,
11397,アルケン,64075,20448,False,0,,,,,,,,,,,,,,,,
12437,エタノール,127802,35162,False,1,66,1,7,1,2,0,1,3,17,3,15,7,6,3,0,0
12440,メタノール,89394,23960,False,1,,,,,,,,,,,,,,,,
12473,エーテル,24112,7049,True,0,,,,,,,,,,,,,,,,
12855,窒化アルミニウム,49141,9860,False,1,,,,,,,,,,,,,,,,
13635,トリクロロエチレン,76056,22339,False,1,,,,,,,,,,,,,,,,
13989,チオ硫酸ナトリウム,74373,14584,False,1,,,,,,,,,,,,,,,,
14869,塩酸,58068,20077,False,1,,,,,,,,,,,,,,,,
14870,硫酸,138397,39085,False,1,,,,,,,,,,,,,,,,
14871,硝酸,109612,24516,False,1,,,,,,,,,,,,,,,,
15258,二酸化硫黄,86447,20916,False,1,,,,,,,,,,,,,,,,
15570,次亜塩素酸ナトリウム,78245,17522,False,1,,,,,,,,,,,,,,,,
16006,酸化レニウム(VI),40546,9097,False,1,,,,,,,,,,,,,,,,
16084,プロスタグランジン,56320,11242,False,0,,,,,,,,,,,,,,,,
16292,サリチル酸,69321,15280,False,1,,,,,,,,,,,,,,,,
17047,バリン,62360,12685,False,1,,,,,,,,,,,,,,,,
17179,一酸化炭素,71308,16774,False,1,,,,,,,,,,,,,,,,
17690,アンジオテンシン変換酵素阻害薬,113498,19099,False,0,,,,,,,,,,,,,,,,
18121,アセトアミノフェン,69994,18547,False,1,,,,,,,,,,,,,,,,
18648,アラニン,57080,10992,False,1,,,,,,,,,,,,,,,,
18653,ロイシン,44388,9598,False,1,,,,,,,,,,,,,,,,
19566,シアン化水素,89815,22619,False,1,47,1,15,1,4,0,1,3,11,0,5,0,0,3,3,0
19914,メチオニン,64861,15187,False,1,,,,,,,,,,,,,,,,
20868,ヘモグロビン,57145,18781,False,0,,,,,,,,,,,,,,,,
21292,アセチレン,54306,15263,False,1,,,,,,,,,,,,,,,,
21327,ヘロイン,108277,27829,False,1,,,,,,,,,,,,,,,,
21341,エタン,41780,14323,False,0,,,,,,,,,,,,,,,,
21346,エチレン,46960,13048,False,1,,,,,,,,,,,,,,,,
22229,プロパン,41855,12957,False,0,30,2,8,3,0,0,0,2,7,0,4,0,1,1,2,0
22230,プロパノール,21177,6101,True,0,,,,,,,,,,,,,,,,
22407,グリシン,83851,20055,False,1,36,1,10,3,0,0,1,0,8,6,1,1,3,1,1,0
22515,合成樹脂,78165,23488,False,0,,,,,,,,,,,,,,,,
22942,ブタン,32299,9583,False,1,,,,,,,,,,,,,,,,
24073,ジシアン,63453,12599,False,1,,,,,,,,,,,,,,,,
24281,糖,74802,18054,False,0,,,,,,,,,,,,,,,,
24374,立方晶窒化ホウ素,24002,7127,False,0,,,,,,,,,,,,,,,,
24383,クロロホルム,74072,17829,False,1,,,,,,,,,,,,,,,,
24425,スクロース,63146,13886,False,1,,,,,,,,,,,,,,,,
24468,アミロペクチン,43527,8961,False,0,,,,,,,,,,,,,,,,
24471,グルタミン,55942,13494,False,1,,,,,,,,,,,,,,,,
24739,プロリン,55497,12011,False,1,,,,,,,,,,,,,,,,
24740,フェニルアラニン,51706,12298,False,1,,,,,,,,,,,,,,,,
24741,セリン,52048,11693,False,1,,,,,,,,,,,,,,,,
24742,トレオニン,53251,11838,False,1,,,,,,,,,,,,,,,,
24938,グルコース,95317,23606,False,1,,,,,,,,,,,,,,,,
25279,酢酸,257514,66584,False,1,,,,,,,,,,,,,,,,
26121,ニトログリセリン,66542,17715,False,1,,,,,,,,,,,,,,,,
26123,グリセリン,86059,20652,False,1,,,,,,,,,,,,,,,,
26134,脂肪酸,92757,29497,False,0,,,,,,,,,,,,,,,,
27013,青葉アルコール,26884,7786,False,1,,,,,,,,,,,,,,,,
27014,アセチルコリン,40253,10526,False,1,,,,,,,,,,,,,,,,
27059,炭酸水素ナトリウム,103195,23933,False,1,83,1,19,6,2,0,1,0,12,3,32,0,1,2,3,1
27129,ギ酸,81474,22562,False,1,62,1,9,2,10,0,1,3,8,0,7,5,4,3,8,1
27131,カルボン酸,86321,21856,False,0,,,,,,,,,,,,,,,,
27347,アルデヒド,61795,17813,False,0,29,0,1,3,0,0,0,0,9,0,1,0,1,0,14,0
27848,シクロペンタジエン,39573,10197,False,1,,,,,,,,,,,,,,,,
27849,ホルムアルデヒド,56430,16694,False,1,,,,,,,,,,,,,,,,
27850,アセトアルデヒド,71110,18752,False,1,,,,,,,,,,,,,,,,
27902,フェノール,49891,13186,False,1,,,,,,,,,,,,,,,,
28052,トルエン,53150,13674,False,1,,,,,,,,,,,,,,,,
28140,オクタン,25469,6840,False,0,,,,,,,,,,,,,,,,
29194,安息香酸,53015,13760,False,1,,,,,,,,,,,,,,,,
29448,塩化マグネシウム,49186,11510,False,1,,,,,,,,,,,,,,,,
29525,ナフタレン,77757,19784,False,1,,,,,,,,,,,,,,,,
29532,アセトン,44611,16387,False,1,,,,,,,,,,,,,,,,
29891,エーテル (化学),46780,12576,False,0,9,0,2,1,0,0,0,0,2,0,0,0,1,0,3,0
30395,ケトン,44764,11668,False,0,,,,,,,,,,,,,,,,
30396,2-プロパノール,59285,16136,False,1,,,,,,,,,,,,,,,,
31121,DHMO,32529,11774,False,0,18,0,3,0,0,0,0,0,4,0,10,0,0,0,0,1
31715,硫酸バリウム,55139,11977,False,1,,,,,,,,,,,,,,,,
31833,トリニトロトルエン,38627,11125,False,0,,,,,,,,,,,,,,,,
32746,クエン酸,53672,14724,False,1,,,,,,,,,,,,,,,,
32753,芳香族炭化水素,29483,9720,False,0,,,,,,,,,,,,,,,,
32754,ステロイド,67564,16477,False,0,,,,,,,,,,,,,,,,
32762,ピクリン酸,40060,12511,False,0,,,,,,,,,,,,,,,,
32763,ピルビン酸,103494,16968,False,1,,,,,,,,,,,,,,,,
32764,二リン酸,58968,9532,False,1,,,,,,,,,,,,,,,,
32765,コハク酸,39056,9195,False,1,29,1,5,2,1,0,1,1,3,1,10,0,1,1,1,1
32766,リンゴ酸,51126,12861,False,1,,,,,,,,,,,,,,,,
32801,エステル,59459,17872,False,0,,,,,,,,,,,,,,,,
33078,ビニルアルコール,31347,8465,False,1,,,,,,,,,,,,,,,,
33436,ケテン,24722,7990,False,0,,,,,,,,,,,,,,,,
33457,ε-カプロラクタム,40076,11324,False,1,,,,,,,,,,,,,,,,
33466,テルペン,107769,31861,False,0,,,,,,,,,,,,,,,,
33470,乳酸,64508,16292,False,1,,,,,,,,,,,,,,,,
33471,リン酸,100104,23653,False,0,,,,,,,,,,,,,,,,
33515,水酸化ナトリウム,73374,18069,False,1,,,,,,,,,,,,,,,,
33516,塩化カルシウム,64253,15302,False,1,,,,,,,,,,,,,,,,
33814,カフェイン,187957,39078,False,1,41,1,5,3,0,0,1,0,23,0,6,0,1,1,0,0
35467,カテキン,67685,15226,False,1,,,,,,,,,,,,,,,,
35891,ジベンゾフラン,32271,7917,False,1,,,,,,,,,,,,,,,,
36836,四塩化炭素,73629,14467,False,0,,,,,,,,,,,,,,,,
37785,ホスゲン,59639,14162,False,1,44,1,6,1,4,0,2,3,10,6,4,0,2,3,2,0
38485,ハロゲン化物,27241,7707,False,0,,,,,,,,,,,,,,,,
39453,アルギニン,51579,10964,False,1,,,,,,,,,,,,,,,,
39855,一酸化窒素,51156,12664,False,0,,,,,,,,,,,,,,,,
40204,アスパラギン,50891,11061,False,1,,,,,,,,,,,,,,,,
41117,アスパラギン酸,50937,10615,False,1,,,,,,,,,,,,,,,,
41145,グルタミン酸,65931,15735,False,1,,,,,,,,,,,,,,,,
41260,ホスフィン,64195,10568,False,1,,,,,,,,,,,,,,,,
41685,γ-アミノ酪酸,43198,11091,False,1,16,1,6,1,0,0,0,0,3,0,0,0,0,3,1,1
41875,ドーパミン,95484,18838,False,1,,,,,,,,,,,,,,,,
42200,システイン,59645,14579,False,1,,,,,,,,,,,,,,,,
42207,シスチン,48347,10633,False,1,,,,,,,,,,,,,,,,
42956,ヒスチジン,54185,11041,False,1,,,,,,,,,,,,,,,,
43235,塩化水素,55692,10698,False,1,,,,,,,,,,,,,,,,
43250,クロルピクリン,43533,10560,False,1,,,,,,,,,,,,,,,,
43585,トリプトファン,72641,16319,False,1,,,,,,,,,,,,,,,,
45770,チアミン,79443,18738,False,1,,,,,,,,,,,,,,,,
45774,リボフラビン,75926,17870,False,1,,,,,,,,,,,,,,,,
45782,ピリドキシン,47838,10512,False,1,,,,,,,,,,,,,,,,
45788,シアノコバラミン,175286,47523,False,1,,,,,,,,,,,,,,,,
46186,エチレンオキシド,44134,11132,False,1,59,1,19,2,7,0,1,3,8,6,3,0,3,3,3,0
46289,クレアチン,36426,10432,False,1,,,,,,,,,,,,,,,,
46711,グリコーゲン,44979,14081,False,0,14,0,5,0,1,0,0,0,7,0,0,0,0,0,1,0
47035,ビタミンD,271164,67304,False,2,,,,,,,,,,,,,,,,
