page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,主要都市,人口,人口データの年,人口密度,別名,地名の謂れ,成立時期,戦争,所在地,構成国,構成地域,民族,言語,読み,面積
32,ヨーロッパ,296377,59801,False,1,,,,,,,,,,,,,,,,
2371,アメイジア大陸,58923,10899,False,0,,,,,,,,,,,,,,,,
2706,ヌーナ大陸,53792,9408,False,0,,,,,,,,,,,,,,,,
2736,ロディニア大陸,64246,12947,False,0,,,,,,,,,,,,,,,,
3880,南アジア,55768,12615,False,0,68,0,1,1,0,0,0,0,0,3,37,1,3,20,1,1
3881,東南アジア,89917,29032,False,0,112,10,0,0,0,7,1,1,5,1,59,13,0,14,1,0
3882,中近東,29782,7442,False,0,,,,,,,,,,,,,,,,
3883,西アジア,55791,11474,False,0,72,3,0,0,0,1,0,0,0,2,45,9,0,11,1,0
3884,中央アジア,144229,47006,False,0,473,3,0,0,0,8,1,1,5,6,237,14,172,25,1,0
3945,中東,125542,36095,False,1,,,,,,,,,,,,,,,,
4369,パレスチナ,136868,43956,False,0,138,3,0,0,0,7,1,0,10,2,65,24,23,3,0,0
4395,南極大陸,446008,97811,False,1,,,,,,,,,,,,,,,,
4434,メソポタミア,134088,29137,False,0,87,3,0,0,0,4,1,2,3,2,52,6,12,2,0,0
4921,歴史的シリア,32758,9264,False,0,42,1,0,0,0,4,0,0,0,1,15,3,16,1,1,0
5395,ゴンドワナ大陸,66433,14235,False,0,,,,,,,,,,,,,,,,
5865,アラブ世界,42385,9049,False,1,64,0,0,0,0,4,0,0,0,1,50,3,4,1,1,0
5963,アメリカ州,91568,16642,False,1,56,0,1,0,0,12,3,2,0,1,10,25,0,0,1,1
6218,クルディスタン,73920,19260,False,0,79,28,0,0,0,3,2,1,3,2,22,2,9,6,0,1
7005,アフリカ,305125,79974,False,1,395,59,1,1,1,3,6,1,5,4,222,2,18,70,0,2
8510,東ヨーロッパ,78898,16942,False,0,85,0,0,0,0,6,0,0,8,1,63,2,4,0,1,0
8551,アメリカ大陸,55944,9605,False,0,13,0,0,0,0,2,1,2,0,1,0,6,0,0,1,0
8667,南アメリカ,177044,45311,False,1,212,24,3,1,1,6,1,1,0,4,141,1,10,16,1,2
8676,ローラシア大陸,56614,9889,False,0,,,,,,,,,,,,,,,,
8679,南アメリカ大陸,58263,10136,False,0,11,0,0,0,0,2,0,0,0,2,4,3,0,0,0,0
