page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,主権国家,主要都市,人口,人口データの年,人口密度,公用語,別名,国名の謂れ,地形,宗教,成立年,戦争,所在地,条約,正式名称,消滅年,現在の地名,読み,通貨,隣国,面積,首都
48,古代エジプト,133258,47736,False,0,,,,,,,,,,,,,,,,,,,,,,,
49,エジプト,263236,62504,False,0,,,,,,,,,,,,,,,,,,,,,,,
74,オーストリア,303997,80752,False,0,148,0,37,1,1,1,2,37,2,26,7,4,0,4,3,4,0,0,0,5,10,1,3
100,インドネシア,317045,89287,False,0,,,,,,,,,,,,,,,,,,,,,,,
101,イラク,309279,91230,False,0,240,0,27,1,1,1,6,9,2,72,53,6,34,3,2,3,0,0,0,4,12,1,3
102,イラン,386900,105068,False,0,,,,,,,,,,,,,,,,,,,,,,,
106,チュニジア,229097,57647,False,0,,,,,,,,,,,,,,,,,,,,,,,
107,トルコ,295039,82462,False,0,,,,,,,,,,,,,,,,,,,,,,,
109,ロシア,403915,106924,False,1,,,,,,,,,,,,,,,,,,,,,,,
1201,コスタリカ,221211,64070,False,0,,,,,,,,,,,,,,,,,,,,,,,
1468,ラオス,203161,53659,False,0,,,,,,,,,,,,,,,,,,,,,,,
1903,中華人民共和国,488511,128527,False,1,,,,,,,,,,,,,,,,,,,,,,,
2009,インド,562969,161512,False,2,,,,,,,,,,,,,,,,,,,,,,,
2626,パラグアイ,183058,53795,False,0,118,0,22,1,1,1,4,13,2,17,4,3,11,12,1,8,0,0,1,2,11,1,3
2635,アルゼンチン,464962,143852,False,0,,,,,,,,,,,,,,,,,,,,,,,
2851,ウルグアイ,235360,60533,False,0,,,,,,,,,,,,,,,,,,,,,,,
2862,チリ,399458,111623,False,0,191,0,23,1,1,1,4,15,2,52,11,3,23,34,1,3,0,0,0,2,7,1,7
2863,ボリビア,222000,64721,False,0,,,,,,,,,,,,,,,,,,,,,,,
2872,ペルー,275883,78707,False,0,,,,,,,,,,,,,,,,,,,,,,,
2878,メキシコ,336392,92174,False,0,182,0,40,2,2,1,1,14,1,37,13,2,18,3,18,3,0,0,0,3,16,2,6
3259,スイス,237315,62202,False,0,,,,,,,,,,,,,,,,,,,,,,,
3374,イタリア,458935,127572,False,1,,,,,,,,,,,,,,,,,,,,,,,
3389,バチカン,195768,54098,False,0,,,,,,,,,,,,,,,,,,,,,,,
3492,インカ帝国,186257,53195,False,0,48,0,3,1,1,0,4,6,2,9,2,4,4,1,0,1,3,2,1,0,0,1,3
3505,セルビア・モンテネグロ,82235,23381,False,0,,,,,,,,,,,,,,,,,,,,,,,
3837,オスマン帝国,350909,112967,False,0,,,,,,,,,,,,,,,,,,,,,,,
3861,エクアドル,205461,52990,False,0,,,,,,,,,,,,,,,,,,,,,,,
4209,ソビエト連邦,498849,148760,False,1,,,,,,,,,,,,,,,,,,,,,,,
4361,イスラエル,431461,133391,False,0,,,,,,,,,,,,,,,,,,,,,,,
4381,ギリシャ,262454,63980,False,0,106,0,5,1,1,1,3,22,4,22,6,3,11,2,5,7,0,0,2,4,5,1,1
4418,サウジアラビア,240159,69823,False,0,,,,,,,,,,,,,,,,,,,,,,,
4441,クウェート,147134,32346,False,0,,,,,,,,,,,,,,,,,,,,,,,
4508,スリランカ,278136,69308,False,0,,,,,,,,,,,,,,,,,,,,,,,
4512,アフガニスタン,322676,78095,False,0,98,0,9,1,1,1,5,22,1,3,15,2,15,1,3,5,0,0,0,2,6,1,5
4596,ポルトガル,326944,85707,False,1,,,,,,,,,,,,,,,,,,,,,,,
5116,ナイジェリア,264980,63048,False,0,,,,,,,,,,,,,,,,,,,,,,,
5190,大和,36979,12229,False,0,,,,,,,,,,,,,,,,,,,,,,,
5260,李氏朝鮮,286721,116947,False,1,,,,,,,,,,,,,,,,,,,,,,,
5262,五大国,40956,10506,False,0,,,,,,,,,,,,,,,,,,,,,,,
5362,ロシア共和国,21646,6126,True,0,,,,,,,,,,,,,,,,,,,,,,,
5935,ヨルダン,132937,29455,False,0,86,0,17,1,1,1,2,19,2,15,4,2,4,1,1,6,0,0,0,2,5,1,2
6139,パキスタン,259292,61611,False,1,,,,,,,,,,,,,,,,,,,,,,,
6279,レバノン,205367,57369,False,0,,,,,,,,,,,,,,,,,,,,,,,
6336,イエメン,178230,39447,False,0,,,,,,,,,,,,,,,,,,,,,,,
6337,オマーン,131817,27325,False,0,,,,,,,,,,,,,,,,,,,,,,,
6339,ユーゴスラビア,180178,52413,False,0,,,,,,,,,,,,,,,,,,,,,,,
6340,ネパール,281430,83529,False,0,,,,,,,,,,,,,,,,,,,,,,,
6342,クロアチア,176986,40742,False,0,,,,,,,,,,,,,,,,,,,,,,,
6344,デンマーク王国,63851,17569,False,1,,,,,,,,,,,,,,,,,,,,,,,
6345,ネパール王国,59121,15673,False,0,,,,,,,,,,,,,,,,,,,,,,,
6351,スロベニア,224590,58038,False,0,,,,,,,,,,,,,,,,,,,,,,,
6352,アイルランド,282399,62406,False,1,,,,,,,,,,,,,,,,,,,,,,,
6355,ポーランド,575043,186772,False,0,,,,,,,,,,,,,,,,,,,,,,,
6358,バーレーン,129197,28519,False,0,,,,,,,,,,,,,,,,,,,,,,,
6361,ニュージーランド,248122,60030,False,0,,,,,,,,,,,,,,,,,,,,,,,
6362,ジャマイカ,162555,37560,False,0,,,,,,,,,,,,,,,,,,,,,,,
6364,アルメニア,161156,34911,False,0,83,0,9,1,1,1,2,10,2,19,5,3,0,6,0,5,0,0,1,2,9,1,6
6367,ノルウェー,192850,44066,False,0,66,0,4,1,1,1,9,9,0,9,8,2,2,5,3,3,0,0,0,2,3,2,2
6368,トルクメニスタン,180424,38614,False,0,,,,,,,,,,,,,,,,,,,,,,,
6370,コロンビア,325873,91379,False,0,,,,,,,,,,,,,,,,,,,,,,,
6372,チェコ,230569,48480,False,0,236,0,155,1,1,1,2,6,0,14,10,3,18,5,0,3,0,0,0,2,9,1,5
6374,ブータン,187710,61369,False,0,,,,,,,,,,,,,,,,,,,,,,,
6376,エストニア,182002,36882,False,0,,,,,,,,,,,,,,,,,,,,,,,
6378,モロッコ,248692,65687,False,0,,,,,,,,,,,,,,,,,,,,,,,
6382,ソマリア,176971,47046,False,0,,,,,,,,,,,,,,,,,,,,,,,
6383,スロバキア共和国,21811,6121,True,0,,,,,,,,,,,,,,,,,,,,,,,
6384,スロバキア,200595,43993,False,0,67,0,13,1,1,1,2,10,3,4,4,6,0,2,0,2,0,0,0,6,8,1,3
6406,アラブ首長国連邦,177137,46584,False,0,,,,,,,,,,,,,,,,,,,,,,,
6946,キプロス,206524,55892,False,0,,,,,,,,,,,,,,,,,,,,,,,
6947,バングラデシュ,222384,64654,False,1,,,,,,,,,,,,,,,,,,,,,,,
6948,ブルネイ,144551,30764,False,0,,,,,,,,,,,,,,,,,,,,,,,
6953,アルジェリア,213711,49716,False,0,,,,,,,,,,,,,,,,,,,,,,,
6954,アンゴラ,223735,58426,False,0,,,,,,,,,,,,,,,,,,,,,,,
6956,ウガンダ,139698,32950,False,0,,,,,,,,,,,,,,,,,,,,,,,
6961,ガーナ,180126,39620,False,0,,,,,,,,,,,,,,,,,,,,,,,
6963,カメルーン,177590,37964,False,0,,,,,,,,,,,,,,,,,,,,,,,
6965,ギニア,134733,29669,False,0,,,,,,,,,,,,,,,,,,,,,,,
6968,ケニア,171042,42566,False,0,72,0,13,2,2,1,4,6,1,8,7,3,0,4,0,5,0,0,0,2,6,1,7
6970,マリ共和国,175853,35190,False,0,,,,,,,,,,,,,,,,,,,,,,,
6972,マリ帝国,56514,14795,False,0,,,,,,,,,,,,,,,,,,,,,,,
6974,スーダン,206972,52713,False,0,,,,,,,,,,,,,,,,,,,,,,,
6975,モザンビーク,238991,56213,False,0,,,,,,,,,,,,,,,,,,,,,,,
7800,ローマ帝国,136914,45364,False,0,,,,,,,,,,,,,,,,,,,,,,,
7838,ドイツ連邦,80830,16044,False,7,34,0,0,0,0,0,1,12,0,0,0,5,3,0,2,0,5,0,1,0,0,0,5
8132,ニジェール,144329,29882,False,0,,,,,,,,,,,,,,,,,,,,,,,
8133,ルーマニア,175105,37003,False,1,,,,,,,,,,,,,,,,,,,,,,,
8352,イギリス連邦,217875,53875,False,1,,,,,,,,,,,,,,,,,,,,,,,
8406,ハンガリー,253550,58849,False,0,,,,,,,,,,,,,,,,,,,,,,,
8435,ウクライナ,531265,138220,False,0,,,,,,,,,,,,,,,,,,,,,,,
8437,マケドニア共和国,208591,60952,False,0,,,,,,,,,,,,,,,,,,,,,,,
8593,コンゴ民主共和国,223025,53793,False,0,,,,,,,,,,,,,,,,,,,,,,,
8594,ザイール,59009,17507,False,0,,,,,,,,,,,,,,,,,,,,,,,
8596,モーリタニア,168731,38958,False,0,,,,,,,,,,,,,,,,,,,,,,,
8599,カザフスタン,263925,56833,False,0,,,,,,,,,,,,,,,,,,,,,,,
8600,ジブチ,162758,33571,False,0,,,,,,,,,,,,,,,,,,,,,,,
8603,コモロ,113435,23689,False,0,,,,,,,,,,,,,,,,,,,,,,,
8609,東ティモール,163216,46814,False,0,,,,,,,,,,,,,,,,,,,,,,,
8853,アルバニア,202765,45982,False,0,,,,,,,,,,,,,,,,,,,,,,,
8854,ボスニア・ヘルツェゴビナ,193542,48113,False,0,,,,,,,,,,,,,,,,,,,,,,,
8855,ベラルーシ,170681,47779,False,1,,,,,,,,,,,,,,,,,,,,,,,
8856,タンザニア,183125,48812,False,0,87,0,13,1,1,1,5,7,2,26,4,2,2,1,0,4,0,0,0,2,8,2,6
8992,東ローマ帝国,367855,101855,False,0,,,,,,,,,,,,,,,,,,,,,,,
9008,ユーゴスラビア連邦共和国,91315,27764,False,0,,,,,,,,,,,,,,,,,,,,,,,
9035,オランダ王国,156092,53203,False,1,,,,,,,,,,,,,,,,,,,,,,,
9060,フィジー,111601,30667,False,0,,,,,,,,,,,,,,,,,,,,,,,
9098,西ドイツ,121111,35245,False,7,,,,,,,,,,,,,,,,,,,,,,,
9116,シリア,303050,88874,False,0,,,,,,,,,,,,,,,,,,,,,,,
9422,チェコスロバキア,117711,39085,False,0,,,,,,,,,,,,,,,,,,,,,,,
9488,ミクロネシア連邦,93758,21846,False,0,,,,,,,,,,,,,,,,,,,,,,,
9502,ロシア帝国,649426,199835,False,1,273,0,10,1,1,0,1,7,0,9,141,7,49,2,11,0,11,9,1,1,0,3,9
9516,セントクリストファー・ネイビス,105744,27872,False,0,,,,,,,,,,,,,,,,,,,,,,,
9917,ルクセンブルク,223694,53938,False,0,,,,,,,,,,,,,,,,,,,,,,,
10129,マルタ,131525,29295,False,0,,,,,,,,,,,,,,,,,,,,,,,
10193,リヒテンシュタイン,106243,25421,False,0,50,0,3,1,1,1,3,9,0,2,3,6,0,1,1,4,0,0,1,3,8,1,2
10280,ペルシア,39801,9708,False,0,,,,,,,,,,,,,,,,,,,,,,,
10370,ヒッタイト,130431,19432,False,0,,,,,,,,,,,,,,,,,,,,,,,
11737,在日韓国・朝鮮人,706279,223151,False,1,,,,,,,,,,,,,,,,,,,,,,,
11927,モナコ,135420,32864,False,0,,,,,,,,,,,,,,,,,,,,,,,
12648,キューバ,322776,108865,False,0,,,,,,,,,,,,,,,,,,,,,,,
12697,ガミラス帝国,184234,80353,False,0,,,,,,,,,,,,,,,,,,,,,,,
12901,満州国,301991,105165,False,0,112,4,31,1,1,0,6,17,0,2,0,10,0,0,8,2,7,1,2,3,7,2,8
13083,モーリシャス,155422,34886,False,0,,,,,,,,,,,,,,,,,,,,,,,
13204,ウズベキスタン,342409,98775,False,0,,,,,,,,,,,,,,,,,,,,,,,
13208,古代ローマ,123500,20044,False,0,,,,,,,,,,,,,,,,,,,,,,,
13219,モンゴル国,171208,50107,False,0,106,0,3,1,1,1,3,50,1,6,7,2,6,6,4,3,0,0,1,2,5,1,3
13221,コンゴ共和国,124224,24466,False,0,,,,,,,,,,,,,,,,,,,,,,,
13273,タジキスタン,200993,44995,False,0,96,0,14,1,1,1,3,13,2,16,10,2,3,3,0,8,0,0,0,3,9,1,6
13546,マラウイ,118918,26884,False,0,,,,,,,,,,,,,,,,,,,,,,,
14043,ジンバブエ,187898,44314,False,0,,,,,,,,,,,,,,,,,,,,,,,
14080,漢,72181,18364,False,1,,,,,,,,,,,,,,,,,,,,,,,
14160,ナルニア国,37989,12948,False,0,,,,,,,,,,,,,,,,,,,,,,,
14170,サーサーン朝,159719,46808,False,0,,,,,,,,,,,,,,,,,,,,,,,
14293,サンマリノ,123274,30764,False,0,,,,,,,,,,,,,,,,,,,,,,,
15336,メディア王国,66907,19566,False,0,,,,,,,,,,,,,,,,,,,,,,,
15338,アケメネス朝,140554,22844,False,0,,,,,,,,,,,,,,,,,,,,,,,
15339,セレウコス朝,205958,31931,False,0,,,,,,,,,,,,,,,,,,,,,,,
15341,グレコ・バクトリア王国,59132,16356,False,0,,,,,,,,,,,,,,,,,,,,,,,
16312,共和政ローマ,143532,29023,False,0,,,,,,,,,,,,,,,,,,,,,,,
16627,イングランド,121379,32855,False,0,,,,,,,,,,,,,,,,,,,,,,,
16751,ウェールズ,146531,35197,False,0,,,,,,,,,,,,,,,,,,,,,,,
16986,スコットランド,165809,37623,False,0,,,,,,,,,,,,,,,,,,,,,,,
19251,ソマリランド,118579,29893,False,0,,,,,,,,,,,,,,,,,,,,,,,
19782,ガイアナ,152675,35218,False,0,,,,,,,,,,,,,,,,,,,,,,,
19818,高麗,160691,55286,False,1,,,,,,,,,,,,,,,,,,,,,,,
19915,ニカラグア,202055,54557,False,0,,,,,,,,,,,,,,,,,,,,,,,
21147,枢軸国,106524,29826,False,0,,,,,,,,,,,,,,,,,,,,,,,
21697,古代ギリシア,177554,54082,False,0,,,,,,,,,,,,,,,,,,,,,,,
22113,ジョージア (国),428957,114983,False,0,,,,,,,,,,,,,,,,,,,,,,,
22336,ビン (十国),35854,10873,False,0,22,0,2,0,0,0,2,7,0,0,1,2,0,0,0,0,4,1,1,0,0,0,2
23090,アッカド,32544,9023,False,0,,,,,,,,,,,,,,,,,,,,,,,
23091,バビロニア,86738,15435,False,0,,,,,,,,,,,,,,,,,,,,,,,
23110,アッシリア,104510,45948,False,0,,,,,,,,,,,,,,,,,,,,,,,
23467,アイルランド自由国,59097,13061,False,0,,,,,,,,,,,,,,,,,,,,,,,
23468,アイルランド王国,63575,13838,False,0,,,,,,,,,,,,,,,,,,,,,,,
23670,グレートブリテン王国,50706,10831,False,0,,,,,,,,,,,,,,,,,,,,,,,
23832,イギリス帝国,238294,68091,False,0,,,,,,,,,,,,,,,,,,,,,,,
23852,ドイツ民主共和国,378334,110709,False,7,,,,,,,,,,,,,,,,,,,,,,,
23893,ドイツ帝国,140472,34254,False,7,,,,,,,,,,,,,,,,,,,,,,,
23978,神聖ローマ帝国,625075,218125,False,13,403,0,8,1,1,0,10,134,0,6,92,12,64,6,48,0,9,5,1,0,0,0,6
24074,大韓帝国,103342,27082,False,1,,,,,,,,,,,,,,,,,,,,,,,
24893,レソト,92993,21951,False,0,,,,,,,,,,,,,,,,,,,,,,,
25103,コンゴ王国,49253,12492,False,0,,,,,,,,,,,,,,,,,,,,,,,
25150,リトアニア,343186,88827,False,1,,,,,,,,,,,,,,,,,,,,,,,
25153,モルドバ,235826,59906,False,0,84,0,5,1,1,1,13,15,2,10,9,2,2,2,5,2,0,0,0,2,6,1,5
26346,ウンム・アル＝カイワイン,73960,10818,False,5,,,,,,,,,,,,,,,,,,,,,,,
26359,ベトナム共和国,81713,22509,False,0,,,,,,,,,,,,,,,,,,,,,,,
26374,南ベトナム,48169,10632,False,0,,,,,,,,,,,,,,,,,,,,,,,
26507,アゼルバイジャン,185136,35813,False,0,,,,,,,,,,,,,,,,,,,,,,,
26602,北キプロス・トルコ共和国,74362,22167,False,0,,,,,,,,,,,,,,,,,,,,,,,
26770,ラテン帝国,35395,11620,False,0,,,,,,,,,,,,,,,,,,,,,,,
27033,トンガ,116538,29575,False,0,,,,,,,,,,,,,,,,,,,,,,,
27048,アンドラ,146294,30920,False,0,,,,,,,,,,,,,,,,,,,,,,,
27943,ベネズエラ,340876,94665,False,0,,,,,,,,,,,,,,,,,,,,,,,
27948,カーボベルデ,155278,36507,False,0,,,,,,,,,,,,,,,,,,,,,,,
27949,赤道ギニア,127386,28936,False,0,,,,,,,,,,,,,,,,,,,,,,,
27951,ギニアビサウ,152193,33563,False,0,,,,,,,,,,,,,,,,,,,,,,,
27955,エリトリア,202615,50918,False,0,,,,,,,,,,,,,,,,,,,,,,,
27957,コートジボワール,195928,46006,False,0,,,,,,,,,,,,,,,,,,,,,,,
27958,ガボン,128258,26250,False,0,,,,,,,,,,,,,,,,,,,,,,,
27973,サントメ・プリンシペ,116002,26248,False,0,,,,,,,,,,,,,,,,,,,,,,,
27974,ザンビア,144909,33953,False,0,,,,,,,,,,,,,,,,,,,,,,,
28040,スワジランド,86086,19377,False,0,,,,,,,,,,,,,,,,,,,,,,,
28164,スリナム,113386,27945,False,0,,,,,,,,,,,,,,,,,,,,,,,
28186,パプアニューギニア,189002,45000,False,0,,,,,,,,,,,,,,,,,,,,,,,
28200,セーシェル,118559,27281,False,0,65,1,5,1,1,1,8,6,2,20,4,2,0,2,0,4,0,0,1,2,0,1,4
28252,セネガル,215134,49570,False,0,98,0,11,1,1,1,2,5,0,15,15,2,14,2,1,3,0,0,0,2,14,1,8
28254,ベナン,155647,33150,False,0,110,0,24,1,1,1,3,20,1,7,25,2,0,4,0,4,0,0,0,2,9,1,5
28284,中央アフリカ共和国,133225,28374,False,0,,,,,,,,,,,,,,,,,,,,,,,
28285,倭,57912,19465,False,0,,,,,,,,,,,,,,,,,,,,,,,
28287,トーゴ,125204,25470,False,0,,,,,,,,,,,,,,,,,,,,,,,
28309,リベリア,146453,41514,False,0,,,,,,,,,,,,,,,,,,,,,,,
28358,エルサレム王国,50368,17746,False,0,,,,,,,,,,,,,,,,,,,,,,,
28484,ソロモン諸島,105914,21589,False,0,,,,,,,,,,,,,,,,,,,,,,,
28504,アステカ,139990,48818,False,0,,,,,,,,,,,,,,,,,,,,,,,
28584,ブルキナファソ,180775,35924,False,0,,,,,,,,,,,,,,,,,,,,,,,
28651,マダガスカル,498380,155207,False,0,68,0,6,1,1,1,10,13,0,6,7,5,3,1,1,0,0,0,0,2,4,2,5
28673,モンゴル帝国,297571,97011,False,0,,,,,,,,,,,,,,,,,,,,,,,
28747,ブルンジ,96301,20612,False,0,,,,,,,,,,,,,,,,,,,,,,,
28790,グアテマラ,160545,44364,False,0,,,,,,,,,,,,,,,,,,,,,,,
29093,ボツワナ,164223,44730,False,0,,,,,,,,,,,,,,,,,,,,,,,
29123,ルワンダ,151083,33930,False,0,,,,,,,,,,,,,,,,,,,,,,,
29452,グルジア共和国,20975,5948,True,0,,,,,,,,,,,,,,,,,,,,,,,
29694,ダルリアダ王国,73995,12112,False,0,,,,,,,,,,,,,,,,,,,,,,,
29744,ドミニカ共和国,203702,57089,False,0,,,,,,,,,,,,,,,,,,,,,,,
29897,ウクバール,20368,6043,False,0,,,,,,,,,,,,,,,,,,,,,,,
30032,蜀漢,61886,18868,False,0,,,,,,,,,,,,,,,,,,,,,,,
30488,キルギス,182191,37813,False,0,,,,,,,,,,,,,,,,,,,,,,,
30930,新羅,324094,120333,False,1,,,,,,,,,,,,,,,,,,,,,,,
31197,ロスローリエン,21554,5805,False,0,,,,,,,,,,,,,,,,,,,,,,,
31395,蒙古,51276,17311,False,0,,,,,,,,,,,,,,,,,,,,,,,
31860,百済,171055,57879,False,1,,,,,,,,,,,,,,,,,,,,,,,
32904,エルサルバドル,156231,41538,False,0,,,,,,,,,,,,,,,,,,,,,,,
32960,アメリカ連合国,180975,49730,False,0,,,,,,,,,,,,,,,,,,,,,,,
32963,テキサス共和国,43921,11242,False,0,,,,,,,,,,,,,,,,,,,,,,,
32970,カリフォルニア共和国,31350,8153,False,0,,,,,,,,,,,,,,,,,,,,,,,
34145,ユートピア,122921,31596,False,0,,,,,,,,,,,,,,,,,,,,,,,
35665,モルドヴィア共和国,59911,12720,False,0,,,,,,,,,,,,,,,,,,,,,,,
35912,アルノール,23749,6460,False,0,,,,,,,,,,,,,,,,,,,,,,,
35916,ゴンドール,46574,16807,False,1,,,,,,,,,,,,,,,,,,,,,,,
35922,ローハン,40840,16671,False,0,,,,,,,,,,,,,,,,,,,,,,,
35965,マリネラ王国,90449,42956,False,0,,,,,,,,,,,,,,,,,,,,,,,
38047,グレートブリテン及びアイルランド連合王国,37568,9651,False,0,17,0,1,0,0,0,1,2,0,1,0,3,2,0,1,0,3,1,1,0,0,0,1
38571,アンティグア・バーブーダ,96350,20670,False,0,,,,,,,,,,,,,,,,,,,,,,,
38579,バハマ,90323,19427,False,0,,,,,,,,,,,,,,,,,,,,,,,
38881,セントビンセント・グレナディーン,95354,22139,False,0,,,,,,,,,,,,,,,,,,,,,,,
39961,宋 (春秋),49032,11527,False,1,,,,,,,,,,,,,,,,,,,,,,,
40595,奴国,32381,10690,False,0,,,,,,,,,,,,,,,,,,,,,,,
40847,越,48163,11283,False,0,,,,,,,,,,,,,,,,,,,,,,,
41483,ベトナム国,48764,12178,False,0,,,,,,,,,,,,,,,,,,,,,,,
41780,晋 (春秋),67309,14790,False,1,,,,,,,,,,,,,,,,,,,,,,,
44411,パナマ,183391,48316,False,0,,,,,,,,,,,,,,,,,,,,,,,
44825,キリバス,95787,23558,False,0,55,0,2,0,1,1,4,7,1,23,1,3,2,2,0,1,0,0,0,3,1,1,2
45042,バルバドス,110327,25234,False,0,,,,,,,,,,,,,,,,,,,,,,,
46173,モルディブ,123912,27034,False,0,,,,,,,,,,,,,,,,,,,,,,,
46183,イエメン・アラブ共和国,41809,9831,False,0,,,,,,,,,,,,,,,,,,,,,,,
46184,イエメン人民民主共和国,62964,12537,False,0,,,,,,,,,,,,,,,,,,,,,,,
49249,呉 (春秋),43137,11473,False,0,,,,,,,,,,,,,,,,,,,,,,,
49658,リュディア,77015,23566,False,0,50,0,9,0,0,0,1,4,1,5,0,2,6,6,0,0,4,1,0,1,4,0,6
51217,セルビア,144220,36176,False,0,,,,,,,,,,,,,,,,,,,,,,,
51684,オーブ連合首長国,164938,49081,False,0,,,,,,,,,,,,,,,,,,,,,,,
