page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,人口,人口データの年,人口密度,別名,国,国内位置,地名の謂れ,地形,所在地,構成自治体,産業,読み,面積
1057,東北地方,357534,127939,False,1,,,,,,,,,,,,,,
3408,パンジャーブ,48269,11046,False,0,,,,,,,,,,,,,,
3513,関東地方,264020,79504,False,1,,,,,,,,,,,,,,
3578,ラインラント,33346,9326,False,0,,,,,,,,,,,,,,
4353,中部地方,274688,58753,False,1,,,,,,,,,,,,,,
4406,中国地方,182376,42857,False,1,,,,,,,,,,,,,,
5154,関東,41846,13282,False,0,,,,,,,,,,,,,,
6106,九州,315571,62926,False,2,,,,,,,,,,,,,,
6108,四国,485456,122445,False,3,,,,,,,,,,,,,,
6113,北陸地方,177704,43684,False,1,,,,,,,,,,,,,,
6116,東海地方,220843,40808,False,1,,,,,,,,,,,,,,
6131,甲信越地方,79185,15759,False,1,,,,,,,,,,,,,,
8449,関西,38434,12006,False,0,,,,,,,,,,,,,,
10520,西蔵,77219,31416,False,0,,,,,,,,,,,,,,
10972,湘南,119384,39243,False,0,,,,,,,,,,,,,,
12222,ガリー,27650,7125,False,0,,,,,,,,,,,,,,
12606,大阪,77406,25582,False,0,,,,,,,,,,,,,,
12768,シリコンバレー,120281,24095,False,0,,,,,,,,,,,,,,
12898,満州,77635,22041,False,2,,,,,,,,,,,,,,
13483,ヒジャーズ,39452,12085,False,0,,,,,,,,,,,,,,
14277,ユダヤ,67330,13648,False,0,,,,,,,,,,,,,,
18031,北アイルランド,84931,25462,False,0,,,,,,,,,,,,,,
19357,芳野監,41202,8665,False,0,,,,,,,,,,,,,,
19610,和泉,37880,9968,False,0,,,,,,,,,,,,,,
19614,伊賀,44140,10908,False,0,,,,,,,,,,,,,,
19618,遠江,42394,11156,False,1,,,,,,,,,,,,,,
19628,出雲,48306,10446,False,1,,,,,,,,,,,,,,
19629,石見,40747,9398,False,0,17,1,1,1,6,2,0,0,0,2,2,0,1,1
20361,京阪,26249,7424,True,0,,,,,,,,,,,,,,
20370,京阪神,131518,30446,False,1,,,,,,,,,,,,,,
21053,首都圏,41238,12282,False,0,,,,,,,,,,,,,,
21104,蝦夷地,38607,10925,False,0,24,0,0,0,2,0,0,0,11,1,9,0,1,0
21134,和人地,31296,9247,False,0,9,0,0,0,2,0,0,1,0,2,3,0,1,0
22430,アムド,55508,15420,False,0,,,,,,,,,,,,,,
23090,アッカド,32544,9023,False,0,,,,,,,,,,,,,,
23110,アッシリア,104510,45948,False,0,,,,,,,,,,,,,,
26723,フンザ,43117,10464,False,0,,,,,,,,,,,,,,
27901,太平洋ベルト,34517,9658,False,0,,,,,,,,,,,,,,
27917,サンベルト,32732,9476,False,0,,,,,,,,,,,,,,
27953,ボジョレー,36220,10954,False,0,,,,,,,,,,,,,,
29615,山陰地方,81848,18356,False,1,,,,,,,,,,,,,,
30134,プロイセン,81618,23831,False,0,,,,,,,,,,,,,,
30399,鹿島臨海工業地帯,65191,21212,False,0,,,,,,,,,,,,,,
30524,織田荘 (越前国),22061,6108,False,0,,,,,,,,,,,,,,
37274,アルプス,30718,8056,True,0,,,,,,,,,,,,,,
37395,信越地方,48371,9930,False,1,,,,,,,,,,,,,,
37615,シャンパーニュ,31331,9651,False,0,,,,,,,,,,,,,,
43465,極東連邦管区,57685,12090,False,1,,,,,,,,,,,,,,
43468,シベリア連邦管区,54982,11271,False,0,,,,,,,,,,,,,,
43470,ウラル連邦管区,54924,11225,False,0,,,,,,,,,,,,,,
43472,沿ヴォルガ連邦管区,54369,11163,False,0,,,,,,,,,,,,,,
43475,南部連邦管区,55978,11679,False,0,,,,,,,,,,,,,,
43477,北西連邦管区,54521,11219,False,0,,,,,,,,,,,,,,
43480,中央連邦管区,55296,11107,False,0,,,,,,,,,,,,,,
45763,カム (チベット),52854,17893,False,0,,,,,,,,,,,,,,
45871,沿海地方,79648,19928,False,0,,,,,,,,,,,,,,
46056,北九州工業地帯,57760,16819,False,0,,,,,,,,,,,,,,
46057,中京工業地帯,35930,9429,False,0,,,,,,,,,,,,,,
49928,趙 (戦国),55742,14063,False,1,,,,,,,,,,,,,,
50776,北関東工業地域,27790,7950,False,0,33,0,0,0,0,0,0,0,0,0,4,28,1,0
51792,京葉工業地域,34594,9417,False,0,,,,,,,,,,,,,,
51794,京浜工業地帯,49382,15602,False,0,,,,,,,,,,,,,,
52089,東海工業地域,31005,7829,False,0,,,,,,,,,,,,,,
52146,阪神工業地帯,56936,17238,False,0,,,,,,,,,,,,,,
52288,瀬戸内工業地域,30708,8097,False,0,,,,,,,,,,,,,,
52289,北陸工業地域,28207,9755,False,0,,,,,,,,,,,,,,
54940,上越,32212,9798,False,0,,,,,,,,,,,,,,
59358,ハドラマウト,31766,8958,False,0,,,,,,,,,,,,,,
59816,福岡都市圏,76365,15802,False,1,,,,,,,,,,,,,,
60477,倉月荘,19227,5475,False,0,,,,,,,,,,,,,,
60759,コルス地域圏,30429,7585,False,1,,,,,,,,,,,,,,
61476,アカディア,68150,15908,False,0,,,,,,,,,,,,,,
63976,新義州特別行政区,35413,8685,False,1,,,,,,,,,,,,,,
64495,東予地方,38030,12854,False,0,,,,,,,,,,,,,,
66614,矢切,70419,17679,False,0,,,,,,,,,,,,,,
69099,上方,27295,7614,False,0,,,,,,,,,,,,,,
70711,南予地方,43674,16180,False,0,,,,,,,,,,,,,,
73085,新居浜・西条圏,35330,9869,False,0,,,,,,,,,,,,,,
74486,秩父地方,79996,23152,False,0,,,,,,,,,,,,,,
74917,ザンジバル,72616,18488,False,0,,,,,,,,,,,,,,
77251,関中,28502,9129,False,0,,,,,,,,,,,,,,
78589,北部九州,68228,16400,False,0,,,,,,,,,,,,,,
78591,南関東,106585,34839,False,1,,,,,,,,,,,,,,
78631,モラヴィア,85346,24041,False,0,,,,,,,,,,,,,,
79612,北摂,48707,14658,False,3,47,0,0,0,0,0,0,1,0,4,41,0,1,0
79946,南紀,70935,18829,False,0,41,0,0,0,2,1,0,3,26,4,4,0,1,0
79984,北近畿,66167,14166,False,0,,,,,,,,,,,,,,
80255,五箇山,52578,18252,False,0,6,0,0,0,0,0,0,1,0,1,3,0,1,0
83586,吉備路,38571,9382,False,0,,,,,,,,,,,,,,
84845,ニューイングランド,125495,25327,False,0,,,,,,,,,,,,,,
87613,関東御分国,30596,10900,False,0,,,,,,,,,,,,,,
88120,飛鳥,44593,14897,False,0,,,,,,,,,,,,,,
88590,メキシコ割譲地,25482,7182,False,0,14,0,0,0,1,2,0,1,0,1,8,0,1,0
88851,三韓,34879,9629,False,1,,,,,,,,,,,,,,
90723,ボヘミア,79761,19273,False,0,,,,,,,,,,,,,,
91604,宗谷岬,93297,22853,False,3,,,,,,,,,,,,,,
94559,北イタリア,51285,11000,False,0,,,,,,,,,,,,,,
95076,ラーンナー,132933,51664,False,1,,,,,,,,,,,,,,
95767,コーチシナ,53070,10277,False,0,,,,,,,,,,,,,,
95808,安南,53315,11747,False,0,,,,,,,,,,,,,,
95882,トンキン,54851,11390,False,0,,,,,,,,,,,,,,
96979,ヌミディア,96980,21578,False,0,,,,,,,,,,,,,,
98497,マヤ地域,23063,7139,False,0,,,,,,,,,,,,,,
101448,タイ中部,46223,9922,False,0,33,0,0,0,1,4,0,0,1,0,26,1,0,0
101783,タイ北部,43828,9505,False,0,,,,,,,,,,,,,,
101800,イーサーン,54966,14157,False,0,,,,,,,,,,,,,,
102613,北関東,206906,61472,False,1,,,,,,,,,,,,,,
102671,木曽谷,38580,13173,False,0,15,0,0,0,1,0,0,0,5,3,4,1,1,0
103319,タイ南部,45109,9781,False,0,,,,,,,,,,,,,,
103443,武蔵野,97982,34752,False,0,,,,,,,,,,,,,,
105375,村山地方,56002,14718,False,1,50,1,1,0,0,0,0,0,11,3,28,4,1,1
105376,置賜地方,44234,12476,False,0,,,,,,,,,,,,,,
105377,最上地方,37315,10428,False,0,,,,,,,,,,,,,,
105378,庄内地方,79738,20228,False,0,66,1,1,0,0,0,0,1,23,11,24,3,1,1
106449,カスティーリャ,32582,10058,False,0,,,,,,,,,,,,,,
108501,川中島,43217,15169,False,0,,,,,,,,,,,,,,
108884,ランタンボール,45019,9987,False,0,,,,,,,,,,,,,,
109156,深南部 (タイ),47730,17142,False,1,,,,,,,,,,,,,,
110011,雲伯,25110,8044,False,0,,,,,,,,,,,,,,
112160,ラージプーターナー,23575,6313,False,0,,,,,,,,,,,,,,
112573,南信地方,80016,18093,False,1,24,1,1,0,0,1,0,0,4,9,6,0,1,1
115511,足利荘,37453,10402,False,0,,,,,,,,,,,,,,
117065,ホラーサーン,32655,9729,False,0,,,,,,,,,,,,,,
117334,サヴォワ,32419,9192,False,0,,,,,,,,,,,,,,
