page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,分家,別名,名前の謂れ,国,大陸地域,家紋,家領,成立年,所属する人物,所属グループ,本拠地,民族,相続者,祖,祖の地位職業,種類,解散年,読み
11331,徳川氏,133537,22989,False,1,,,,,,,,,,,,,,,,,,,
11807,徳川将軍家,54352,15648,False,0,,,,,,,,,,,,,,,,,,,
13058,徳川御三家,43990,14065,False,1,,,,,,,,,,,,,,,,,,,
13367,足利将軍家,51226,16202,False,0,,,,,,,,,,,,,,,,,,,
13724,尾張徳川家,174605,22986,False,1,264,14,5,0,1,0,1,7,0,180,8,28,0,0,12,1,6,0,1
13776,水戸徳川家,319542,26390,False,1,,,,,,,,,,,,,,,,,,,
13839,紀州徳川家,117964,15248,False,1,,,,,,,,,,,,,,,,,,,
13876,一橋徳川家,98870,13490,False,1,,,,,,,,,,,,,,,,,,,
13883,清水徳川家,74667,14054,False,1,,,,,,,,,,,,,,,,,,,
13886,田安徳川家,81205,15260,False,1,,,,,,,,,,,,,,,,,,,
13890,徳川慶喜家,73315,12342,False,1,,,,,,,,,,,,,,,,,,,
13891,越前松平家,388774,58860,False,1,,,,,,,,,,,,,,,,,,,
13892,会津松平家,75507,10728,False,1,,,,,,,,,,,,,,,,,,,
14365,豊臣氏,92771,25904,False,1,,,,,,,,,,,,,,,,,,,
15079,源氏,269397,57393,False,1,,,,,,,,,,,,,,,,,,,
15984,大覚寺統,95468,12707,False,0,,,,,,,,,,,,,,,,,,,
16105,越智松平家,48917,8567,False,1,62,0,0,0,1,0,2,2,0,36,2,7,0,0,4,1,6,0,1
16608,得川氏,45684,12115,False,1,,,,,,,,,,,,,,,,,,,
16720,世良田氏,60449,16549,False,1,118,6,3,1,1,0,0,6,1,64,12,6,0,0,10,3,4,1,0
16791,酒井氏,93832,27891,False,1,,,,,,,,,,,,,,,,,,,
17852,平氏,526455,33961,False,1,,,,,,,,,,,,,,,,,,,
22961,ハプスブルク家,285775,36917,False,0,,,,,,,,,,,,,,,,,,,
23905,皇室,403298,71192,False,3,,,,,,,,,,,,,,,,,,,
26783,得宗,92030,16287,False,0,,,,,,,,,,,,,,,,,,,
27557,清和源氏,423115,37369,False,1,,,,,,,,,,,,,,,,,,,
27828,藤原氏,253776,30944,False,1,,,,,,,,,,,,,,,,,,,
