page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,主要都市,人口,人口データの年,人口密度,公用語,公用語以外の言語,別名,地名の謂れ,座標・経度,座標・緯度,成立年,所在地,民族,消滅年,種類,統治国家,読み,面積
5888,イロコイ連邦,75793,24712,False,0,37,0,0,0,0,0,0,5,1,0,0,1,1,26,0,2,0,1,0
7855,マカオ,206930,58163,False,2,91,2,1,1,1,5,6,30,1,2,2,3,7,11,0,3,5,10,1
15131,バルト三国,83924,18557,False,0,,,,,,,,,,,,,,,,,,,
17212,チベット自治区,127788,31669,False,1,48,1,1,1,1,0,0,25,0,0,0,1,1,11,0,2,2,1,1
17459,ウンマ (シュメールの都市国家),36477,9584,False,0,,,,,,,,,,,,,,,,,,,
20050,新疆ウイグル自治区,151729,34782,False,1,,,,,,,,,,,,,,,,,,,
24785,チャイニーズタイペイ,86609,28609,False,1,95,1,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,1,0
27946,フランス領ギアナ,109288,23838,False,0,,,,,,,,,,,,,,,,,,,
28179,ウォリス・フツナ,90152,19316,False,0,,,,,,,,,,,,,,,,,,,
30485,内モンゴル自治区,122594,27217,False,1,51,3,1,1,1,2,3,14,0,0,0,1,2,15,0,3,2,2,1
31494,トラスカラ王国,29313,7722,False,0,,,,,,,,,,,,,,,,,,,
38575,オランダ領アンティル,75662,23642,False,0,54,3,1,1,0,8,2,20,0,0,0,4,2,2,6,1,3,0,1
38602,モントセラト,71564,16420,False,0,,,,,,,,,,,,,,,,,,,
40131,プエルトリコ,191009,48728,False,0,86,11,1,1,1,2,1,31,1,0,0,7,2,8,0,7,12,0,1
46986,北ローデシア,84200,16946,False,0,,,,,,,,,,,,,,,,,,,
46988,ニヤサランド,39662,12752,False,0,,,,,,,,,,,,,,,,,,,
46991,ローデシア・ニヤサランド連邦,44817,11253,False,0,,,,,,,,,,,,,,,,,,,
46993,南ローデシア,87778,18003,False,0,18,1,0,0,0,1,0,7,1,0,0,3,1,0,1,1,1,1,0
47367,七王国,80296,20791,False,0,,,,,,,,,,,,,,,,,,,
53648,燕雲十六州,34901,11873,False,0,,,,,,,,,,,,,,,,,,,
59294,カルタゴ,125282,41102,False,1,32,1,0,0,0,1,0,7,1,4,4,5,2,4,2,1,0,0,0
60630,北マリアナ諸島,115404,23651,False,0,,,,,,,,,,,,,,,,,,,
