page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,タイトル選定の年,別名,動物,名前の謂れ,国,国内位置,幅,座標・経度,座標・緯度,所在地,植物,構成する地形,水深,種類,読み,選定されたタイトル,長さ,面積,高さ
3163,ビキニ環礁,67725,18360,False,1,24,2,6,0,0,3,0,0,2,2,1,0,0,0,1,1,5,0,1,0
8619,アラビア半島,60556,16521,False,1,,,,,,,,,,,,,,,,,,,,
12469,沖積平野,58950,12019,False,0,,,,,,,,,,,,,,,,,,,,
12868,バルカン半島,47643,10973,False,1,,,,,,,,,,,,,,,,,,,,
12871,アナトリア半島,40881,11538,False,0,,,,,,,,,,,,,,,,,,,,
16498,朝鮮半島,97653,21015,False,2,,,,,,,,,,,,,,,,,,,,
17210,知多半島,61297,16402,False,0,,,,,,,,,,,,,,,,,,,,
17954,天橋立,94321,23365,False,0,,,,,,,,,,,,,,,,,,,,
18127,イベリア半島,204328,53910,False,1,,,,,,,,,,,,,,,,,,,,
23212,遼東半島,40183,11103,False,0,,,,,,,,,,,,,,,,,,,,
24234,日本三名山,38733,10596,False,0,,,,,,,,,,,,,,,,,,,,
24299,スンダランド,33498,9738,False,0,,,,,,,,,,,,,,,,,,,,
25067,関東平野,72833,17323,False,0,,,,,,,,,,,,,,,,,,,,
26626,名水百選,83673,16514,False,0,,,,,,,,,,,,,,,,,,,,
26725,スカンディナヴィア半島,68472,22922,False,1,,,,,,,,,,,,,,,,,,,,
26788,三浦半島,77302,19153,False,0,,,,,,,,,,,,,,,,,,,,
26878,伊豆半島,87006,21872,False,1,,,,,,,,,,,,,,,,,,,,
26929,サハラ砂漠,135822,46753,False,1,,,,,,,,,,,,,,,,,,,,
28354,九十九里浜,77657,22011,False,0,,,,,,,,,,,,,,,,,,,,
29552,カムチャツカ半島,49000,12585,False,1,,,,,,,,,,,,,,,,,,,,
32100,ゴビ砂漠,59469,12297,False,0,,,,,,,,,,,,,,,,,,,,
32101,タクラマカン砂漠,56206,12207,False,0,,,,,,,,,,,,,,,,,,,,
35313,東尋坊,53836,16050,False,0,,,,,,,,,,,,,,,,,,,,
35401,濃尾平野,57158,13798,False,0,18,0,0,0,0,1,0,0,0,0,2,2,11,0,1,1,0,0,0,0
35819,日本の白砂青松100選,51108,9810,False,0,,,,,,,,,,,,,,,,,,,,
49388,日野台地,25688,7513,False,0,,,,,,,,,,,,,,,,,,,,
49884,タイガ,25794,7633,False,0,,,,,,,,,,,,,,,,,,,,
51914,ペロポネソス半島,43766,13624,False,0,,,,,,,,,,,,,,,,,,,,
52286,名水,25823,7423,False,0,,,,,,,,,,,,,,,,,,,,
52290,養老の滝,74185,14354,False,1,,,,,,,,,,,,,,,,,,,,
52296,日本の滝百選,112518,20608,False,1,,,,,,,,,,,,,,,,,,,,
52762,釧路湿原,59678,16221,False,0,,,,,,,,,,,,,,,,,,,,
53162,三保の松原,86278,23509,False,0,,,,,,,,,,,,,,,,,,,,
54669,トロピカルビーチ,36057,10361,False,0,,,,,,,,,,,,,,,,,,,,
55011,森の川,23867,6863,False,0,,,,,,,,,,,,,,,,,,,,
57272,クリミア半島,142129,42208,False,1,,,,,,,,,,,,,,,,,,,,
62416,アマルフィ海岸,63353,15071,False,1,,,,,,,,,,,,,,,,,,,,
63128,イタリア半島,28145,7394,False,1,,,,,,,,,,,,,,,,,,,,
66338,別子銅山,60995,21912,False,0,,,,,,,,,,,,,,,,,,,,
66770,諏訪盆地,46340,10103,False,0,,,,,,,,,,,,,,,,,,,,
70382,庄内平野,43286,9924,False,0,,,,,,,,,,,,,,,,,,,,
71472,レドンダ島,78618,14249,False,1,,,,,,,,,,,,,,,,,,,,
73033,多喜浜塩田,26181,7693,False,0,,,,,,,,,,,,,,,,,,,,
73131,クラカタウ,89396,22200,False,1,,,,,,,,,,,,,,,,,,,,
73327,ギアナ高地,37426,10676,False,0,,,,,,,,,,,,,,,,,,,,
73364,エンジェルフォール,44918,11126,False,1,,,,,,,,,,,,,,,,,,,,
74598,石廊崎,42217,10391,False,0,,,,,,,,,,,,,,,,,,,,
76396,イストリア半島,40355,12448,False,0,,,,,,,,,,,,,,,,,,,,
79453,リャノ,26685,7591,False,0,,,,,,,,,,,,,,,,,,,,
79869,デカン高原,41007,11544,False,1,,,,,,,,,,,,,,,,,,,,
80030,カルパチア盆地,34082,10185,False,0,,,,,,,,,,,,,,,,,,,,
80822,七つ釜,28600,7932,False,0,,,,,,,,,,,,,,,,,,,,
85526,裂け谷,23274,7201,False,0,,,,,,,,,,,,,,,,,,,,
85651,称名滝,51229,11446,False,1,,,,,,,,,,,,,,,,,,,,
86330,丹後半島,48395,10859,False,0,,,,,,,,,,,,,,,,,,,,
86877,バージェス頁岩,34519,10412,False,0,,,,,,,,,,,,,,,,,,,,
88150,奈良盆地,45395,9820,False,0,,,,,,,,,,,,,,,,,,,,
89897,牧之原台地,27943,8018,False,0,,,,,,,,,,,,,,,,,,,,
90359,日本海溝,118341,17850,False,0,,,,,,,,,,,,,,,,,,,,
91487,山形盆地,44992,9848,False,0,,,,,,,,,,,,,,,,,,,,
93142,タラワ,43275,10790,False,1,,,,,,,,,,,,,,,,,,,,
95001,渥美半島,199680,88115,False,0,,,,,,,,,,,,,,,,,,,,
95088,インドシナ半島,33810,10033,False,0,,,,,,,,,,,,,,,,,,,,
95908,佐田岬,34012,9157,False,0,,,,,,,,,,,,,,,,,,,,
95934,中央構造線,199858,54251,False,0,,,,,,,,,,,,,,,,,,,,
96244,グレート・バリア・リーフ,211376,60016,False,1,,,,,,,,,,,,,,,,,,,,
97994,淋代海岸,26303,7358,False,0,,,,,,,,,,,,,,,,,,,,
98934,伊良湖岬,49115,12127,False,0,,,,,,,,,,,,,,,,,,,,
99136,フォッサマグナ,68986,18374,False,0,,,,,,,,,,,,,,,,,,,,
100415,フィリピン海プレート,93474,18365,False,0,,,,,,,,,,,,,,,,,,,,
100420,フィリピン海溝,59629,10826,False,0,,,,,,,,,,,,,,,,,,,,
102664,ロパートカ岬,26856,7406,False,0,,,,,,,,,,,,,,,,,,,,
102669,伊那谷,58665,13922,False,0,,,,,,,,,,,,,,,,,,,,
102860,グランド・キャニオン,58288,19155,False,1,44,2,1,1,0,2,0,2,4,4,5,0,9,0,6,0,3,3,0,2
102999,長野盆地,92857,25851,False,0,,,,,,,,,,,,,,,,,,,,
