page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,下部組織,予算データの年,人数,人数データの年,代表者,代表者の地位職業,初代代表者,別名,国名,年間予算,後継組織,成立年,成立時の構成組織,所在地,所属組織,業務内容,法令,種類,解散年,読み
1065,アメリカ航空宇宙局,223892,55447,False,1,,,,,,,,,,,,,,,,,,,,,
3412,総務省,187046,47731,False,1,,,,,,,,,,,,,,,,,,,,,
3413,財務省 (日本),114027,34779,False,1,,,,,,,,,,,,,,,,,,,,,
3414,内閣府,125454,31250,False,1,,,,,,,,,,,,,,,,,,,,,
3415,文部科学省,146957,37708,False,1,,,,,,,,,,,,,,,,,,,,,
3416,厚生労働省,143913,42366,False,1,,,,,,,,,,,,,,,,,,,,,
3417,経済産業省,154365,50625,False,3,,,,,,,,,,,,,,,,,,,,,
3418,環境省,95703,28517,False,1,,,,,,,,,,,,,,,,,,,,,
3420,法務省,168268,49577,False,1,,,,,,,,,,,,,,,,,,,,,
3422,外務省,190088,38385,False,1,166,66,4,2,1,1,19,0,4,3,2,0,1,0,2,0,40,18,2,0,1
3423,農林水産省,104259,34681,False,1,,,,,,,,,,,,,,,,,,,,,
3424,防衛省,158781,58731,False,1,,,,,,,,,,,,,,,,,,,,,
3425,国家公安委員会,122954,28258,False,1,,,,,,,,,,,,,,,,,,,,,
3484,気象庁,184606,39548,False,1,,,,,,,,,,,,,,,,,,,,,
3485,郵政事業庁,61694,14614,False,1,,,,,,,,,,,,,,,,,,,,,
3487,社会保険庁,98607,29785,False,1,,,,,,,,,,,,,,,,,,,,,
3540,国会 (日本),416707,83740,False,1,,,,,,,,,,,,,,,,,,,,,
4004,東京都交通局,115078,25699,False,1,,,,,,,,,,,,,,,,,,,,,
4435,衆議院,291253,56917,False,1,,,,,,,,,,,,,,,,,,,,,
6119,国土地理院,91889,31236,False,1,,,,,,,,,,,,,,,,,,,,,
6592,郵政省,103521,26963,False,1,,,,,,,,,,,,,,,,,,,,,
