page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,下部組織,代表,代表の地位職業,共通語,別名,加盟国・地域,加盟国・地域数,加盟組織,基盤の協定,後継組織,成立年,成立時の構成組織,所属組織,本拠地,本拠地国,活動内容,種類,解散年,設立目的,読み
2388,欧州共同体,89945,16877,False,0,,,,,,,,,,,,,,,,,,,,,
2395,国際連合,340391,113067,False,2,668,123,4,3,12,78,316,4,0,31,0,5,14,0,5,3,50,5,0,14,1
2472,World Wide Web Consortium,93500,18657,False,1,,,,,,,,,,,,,,,,,,,,,
2724,欧州サッカー連盟,402148,48193,False,1,,,,,,,,,,,,,,,,,,,,,
2735,国際標準化機構,233405,34767,False,0,,,,,,,,,,,,,,,,,,,,,
2849,メルコスール,72073,17866,False,0,,,,,,,,,,,,,,,,,,,,,
2855,北大西洋条約機構,169571,46359,False,1,,,,,,,,,,,,,,,,,,,,,
2874,G7,46038,11935,False,1,40,0,0,0,0,4,22,1,0,0,0,1,2,0,0,0,5,3,0,1,1
3008,国際電気通信連合,89485,21212,False,1,82,9,2,5,0,25,14,1,0,1,0,3,0,5,1,1,8,5,0,1,1
3796,クリエイティブ・コモンズ,113162,28313,False,1,,,,,,,,,,,,,,,,,,,,,
4781,中央条約機構,28418,7543,False,0,,,,,,,,,,,,,,,,,,,,,
5114,国際連合安全保障理事会,97105,24771,False,1,44,2,0,0,0,18,0,0,0,1,0,1,1,8,2,1,3,5,0,1,1
5296,国際連合監視検証査察委員会,29578,9333,False,0,31,8,2,1,0,5,0,0,0,0,0,1,7,1,0,0,3,1,0,1,1
5868,アラブ連盟,161591,44962,False,1,,,,,,,,,,,,,,,,,,,,,
5908,朝鮮半島エネルギー開発機構,46841,10230,False,0,38,1,0,0,0,3,17,0,0,6,0,1,0,0,0,0,4,2,2,1,1
6189,Internet Assigned Numbers Authority,22700,6508,False,0,,,,,,,,,,,,,,,,,,,,,
7066,世界保健機関,95776,24758,False,1,140,18,2,5,0,45,18,1,0,3,0,3,0,4,4,3,27,4,0,2,1
7099,国際民間航空機関,79822,16569,False,1,88,16,1,0,0,25,14,1,0,7,0,2,0,3,2,2,11,2,0,1,1
9839,国際連合大量破壊兵器廃棄特別委員会,29124,9719,False,0,,,,,,,,,,,,,,,,,,,,,
9904,Association for Computing Machinery,39388,12455,False,0,,,,,,,,,,,,,,,,,,,,,
10713,欧州中央銀行,135498,28615,False,1,,,,,,,,,,,,,,,,,,,,,
10926,国際連合教育科学文化機関,218080,50092,False,1,340,40,2,4,0,31,225,4,0,4,0,3,0,3,3,2,10,2,0,4,3
10930,国際労働機関,86014,21748,False,2,91,13,0,0,0,17,22,1,0,12,0,3,0,5,3,3,7,3,0,1,1
11278,国際通貨基金,138334,49311,False,1,213,13,2,5,0,62,81,1,0,3,0,2,0,5,4,12,13,3,0,6,1
11289,世界銀行,176838,43792,False,1,314,8,3,11,0,9,253,2,0,0,0,3,0,1,4,2,14,2,0,1,1
11295,国際復興開発銀行,21492,6412,False,0,,,,,,,,,,,,,,,,,,,,,
11470,国際連合開発計画,49201,10888,False,1,,,,,,,,,,,,,,,,,,,,,
11553,国際連合事務局,45382,9780,False,1,,,,,,,,,,,,,,,,,,,,,
12306,国際サッカー連盟,235001,38963,False,1,,,,,,,,,,,,,,,,,,,,,
15157,世界貿易機関,207789,71182,False,1,500,34,3,2,3,58,334,1,2,28,0,2,17,0,3,4,3,1,0,4,1
17132,連合国軍最高司令官総司令部,196817,59576,False,1,,,,,,,,,,,,,,,,,,,,,
17148,国際連盟,78527,23625,False,1,,,,,,,,,,,,,,,,,,,,,
17758,救世軍,261915,68328,False,2,,,,,,,,,,,,,,,,,,,,,
