page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,主要都市,人口,人口データの年,付近の大陸・地形,別名,動物,名前の謂れ,含有岩石,周囲,国,国内位置,地形,属する諸島,島数,幅,座標・経度,座標・緯度,所在地,最高地点の高さ,最高峰,植物,構成する島,橋・トンネル,海洋,海洋内位置,湾,湾内位置,産業,種類,観光地,読み,諸島内の位置,長さ,面積
436,北海道,391961,96989,False,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737,ジャワ島,90740,20701,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4125,オアフ島,86259,26608,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,アゾレス諸島,56890,14007,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6021,本州,117722,19864,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108,四国,485456,122445,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118,小豆島,127407,36121,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,淡路島,161900,44248,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6121,大三島,86197,22930,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8714,沖ノ鳥島,179761,46890,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8716,南鳥島,139953,32031,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14931,屋久島,202045,53582,False,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15540,竹島,25242,6790,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17096,グレートブリテン島,70850,12782,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17955,厳島,173816,59205,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17956,松島,166035,39951,False,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17983,ブリテン諸島,44558,13926,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17987,アイルランド島,62926,11401,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18382,択捉島,119570,34998,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19514,佐渡島,72670,22079,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19657,対馬,354576,112779,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22673,ロベン島,58754,16937,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22932,与那国島,107357,30033,False,1,75,0,1,0,2,1,9,0,1,1,6,1,16,3,0,0,2,6,6,1,2,0,0,0,2,0,0,0,4,3,3,1,2,0,2
24475,桜島,218398,70132,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26305,色丹島,107056,27474,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26306,利尻島,47958,14892,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26307,奥尻島,37323,9584,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26308,礼文島,83450,25294,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26751,江の島,315627,129775,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26877,伊豆諸島,108086,29771,False,1,309,0,0,0,8,3,10,1,7,0,1,0,5,0,0,0,0,0,107,0,0,6,148,0,3,1,0,0,6,2,0,1,0,0,0
26882,伊豆大島,193720,47997,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26888,新島,142789,34961,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26889,神津島,113718,19651,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26913,三宅島,160364,37721,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26914,御蔵島,98584,21810,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26919,八丈島,160335,30286,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27016,小笠原諸島,324778,84317,False,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27060,歯舞群島,85020,21428,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27778,大隅諸島,30816,7654,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27780,トカラ列島,60272,15097,False,1,71,1,1,1,0,8,0,1,0,0,1,0,8,3,1,0,0,0,4,3,2,0,26,0,3,0,0,0,0,1,0,2,1,2,2
27782,奄美群島,81289,20590,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27784,沖縄諸島,78192,15914,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27786,大東諸島,92386,26686,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27787,先島諸島,89574,19227,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27788,宮古列島,74683,20821,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27789,八重山列島,85730,25252,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27792,尖閣諸島,253849,52445,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27799,天売島,44959,15589,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27800,焼尻島,41376,14497,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27846,貝殻島,59453,13382,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28432,渡島大島,72341,18015,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28481,壱岐島,66581,22678,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28484,ソロモン諸島,105914,21589,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28528,フェロー諸島,78962,18698,False,0,84,2,2,1,5,3,10,1,0,1,8,0,0,0,1,0,4,4,3,1,0,0,19,0,3,2,0,0,9,1,0,1,0,0,3
28619,淡島 (沼津市),86450,23386,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29475,沖縄本島,200475,42101,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32862,出島,96372,30095,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37555,鳥島 (八丈支庁),107107,25431,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38602,モントセラト,71564,16420,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40546,蘭嶼,52537,13917,False,1,67,0,1,0,11,13,12,0,0,1,1,0,1,0,0,0,2,2,4,1,1,2,0,0,2,0,0,0,4,4,0,4,0,0,1
41577,グアム,155768,42927,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41797,コルシカ島,79159,24078,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43790,西表島,145565,42979,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43791,石垣島,102431,18961,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44038,ニューギニア島,56121,14282,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45016,スマトラ島,60121,13003,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46410,渡島小島,35479,12215,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47181,アルバ,67496,15796,False,0,37,1,1,1,2,2,0,1,0,0,8,0,1,3,0,0,1,1,1,1,1,1,0,0,1,0,0,0,3,3,0,1,1,0,2
48701,マダガスカル島,51620,14747,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49439,西之島,204371,58058,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
