page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,人口,人口データの年,人口密度,別名,国,国内位置,地名の謂れ,地形,座標・経度,座標・緯度,恒例行事,成立年,所在地,消滅年,種類,観光地,読み,面積
1940,中つ国 (トールキン),98005,37426,False,0,,,,,,,,,,,,,,,,,,,
2253,ティン・パン・アレー,31548,8887,False,0,,,,,,,,,,,,,,,,,,,
4453,悪の枢軸,81105,18483,False,0,,,,,,,,,,,,,,,,,,,
6841,横浜みなとみらい21,670063,194614,False,0,,,,,,,,,,,,,,,,,,,
7044,イリオス,67271,24973,False,1,,,,,,,,,,,,,,,,,,,
7171,平安京,64523,23909,False,0,,,,,,,,,,,,,,,,,,,
7408,湘南市,27908,8398,False,0,,,,,,,,,,,,,,,,,,,
10899,阪大坂,27778,8839,False,1,,,,,,,,,,,,,,,,,,,
14226,洞天福地,18003,5190,False,0,,,,,,,,,,,,,,,,,,,
15139,フォーセリア,217177,153210,False,0,,,,,,,,,,,,,,,,,,,
18420,浅草公園六区,95290,33794,False,0,,,,,,,,,,,,,,,,,,,
19069,ジオン公国,202417,45644,False,0,,,,,,,,,,,,,,,,,,,
19239,四国八十八箇所,313669,105388,False,2,,,,,,,,,,,,,,,,,,,
20253,三宮,88216,21416,False,0,,,,,,,,,,,,,,,,,,,
20307,シナイ山,38564,9519,False,0,,,,,,,,,,,,,,,,,,,
21165,鎌倉,118863,48296,False,0,,,,,,,,,,,,,,,,,,,
24332,カナン,32066,9579,False,0,,,,,,,,,,,,,,,,,,,
24736,エデンの園,58178,14863,False,0,,,,,,,,,,,,,,,,,,,
28447,多摩ニュータウン,284622,117559,False,0,,,,,,,,,,,,,,,,,,,
28474,トドワラ,24324,7114,False,0,,,,,,,,,,,,,,,,,,,
28538,ソドムとゴモラ,63102,23123,False,0,,,,,,,,,,,,,,,,,,,
29061,西神ニュータウン,83847,21445,False,1,,,,,,,,,,,,,,,,,,,
35252,天竺,31288,9553,False,0,,,,,,,,,,,,,,,,,,,
37033,戦国七雄,35942,8697,False,0,,,,,,,,,,,,,,,,,,,
39409,桓国,19191,5626,False,0,,,,,,,,,,,,,,,,,,,
41598,5番街 (マンハッタン),117854,19883,False,1,,,,,,,,,,,,,,,,,,,
42816,九つの世界,47144,9049,False,0,,,,,,,,,,,,,,,,,,,
44781,東京山手線内,34270,11555,False,0,,,,,,,,,,,,,,,,,,,
47804,お台場,111248,30238,False,0,,,,,,,,,,,,,,,,,,,
48170,西宮山口ジャンクション,78785,12852,False,1,,,,,,,,,,,,,,,,,,,
48230,伊都国,35392,13153,False,0,,,,,,,,,,,,,,,,,,,
49272,崑崙,52357,10425,False,1,,,,,,,,,,,,,,,,,,,
49438,西宮インターチェンジ,69854,12290,False,1,,,,,,,,,,,,,,,,,,,
51652,ヌーメノール,33834,13089,False,0,,,,,,,,,,,,,,,,,,,
51881,黄泉,64299,19175,False,0,,,,,,,,,,,,,,,,,,,
51883,根の国,47120,11829,False,0,,,,,,,,,,,,,,,,,,,
52416,ムゼウムスインゼル,63748,15455,False,1,,,,,,,,,,,,,,,,,,,
53166,日本平,49454,13901,False,0,,,,,,,,,,,,,,,,,,,
54558,下北沢,101972,29169,False,2,87,2,2,0,14,3,0,0,8,5,5,1,0,15,0,13,18,1,0
54634,ジャブロー,161404,29508,False,0,,,,,,,,,,,,,,,,,,,
54669,トロピカルビーチ,36057,10361,False,0,,,,,,,,,,,,,,,,,,,
58089,ムー大陸,71614,23264,False,0,,,,,,,,,,,,,,,,,,,
58310,アトランティス,203911,86006,False,0,,,,,,,,,,,,,,,,,,,
58632,サマリア,57968,16065,False,0,,,,,,,,,,,,,,,,,,,
58702,ガリラヤ,24487,6883,False,0,14,0,0,0,4,3,1,1,1,0,0,0,0,2,0,1,1,0,0
59778,天岩戸,95553,28960,False,0,,,,,,,,,,,,,,,,,,,
59807,シーサイドももち,61175,14903,False,0,,,,,,,,,,,,,,,,,,,
59821,博多,161583,59158,False,0,,,,,,,,,,,,,,,,,,,
60997,さいたま新都心,142516,58304,False,0,,,,,,,,,,,,,,,,,,,
63032,大月ジャンクション,73403,13880,False,2,,,,,,,,,,,,,,,,,,,
63569,甲子園 (地名),38038,13267,False,0,,,,,,,,,,,,,,,,,,,
65000,神戸研究学園都市,24657,6241,False,0,,,,,,,,,,,,,,,,,,,
67021,六甲アイランド,76648,17205,False,1,,,,,,,,,,,,,,,,,,,
68946,郡山ジャンクション,93646,14274,False,1,,,,,,,,,,,,,,,,,,,
69460,四谷,113969,36711,False,1,,,,,,,,,,,,,,,,,,,
69506,茅ケ崎 (横浜市),28363,7962,False,0,,,,,,,,,,,,,,,,,,,
69732,幕張,79459,29066,False,0,,,,,,,,,,,,,,,,,,,
70217,高蔵寺ニュータウン,57987,18675,False,1,,,,,,,,,,,,,,,,,,,
70262,桃源郷,40190,14489,False,0,,,,,,,,,,,,,,,,,,,
70287,アメヤ横丁,50207,16265,False,0,28,0,0,0,20,1,0,3,0,0,0,0,0,1,0,2,0,1,0
71079,岡谷ジャンクション,70828,11354,False,1,19,0,0,0,5,0,0,0,0,2,2,0,2,2,0,5,0,1,0
71136,原宿,91040,26603,False,0,,,,,,,,,,,,,,,,,,,
71821,新横浜,77133,19576,False,1,,,,,,,,,,,,,,,,,,,
73022,海浜ニュータウン,46261,14594,False,0,,,,,,,,,,,,,,,,,,,
73063,宝立町 (珠洲市),27752,8488,False,0,,,,,,,,,,,,,,,,,,,
74277,北極点,89221,19198,False,0,,,,,,,,,,,,,,,,,,,
74852,天六,45389,10573,False,0,,,,,,,,,,,,,,,,,,,
74918,花巻ジャンクション,81274,11577,False,1,,,,,,,,,,,,,,,,,,,
75146,エリシオン,26706,7436,True,0,,,,,,,,,,,,,,,,,,,
75497,かおり風景100選,72933,15664,False,0,,,,,,,,,,,,,,,,,,,
76899,アストラギウス銀河,61818,25177,False,0,,,,,,,,,,,,,,,,,,,
77529,道頓堀,86227,24170,False,1,,,,,,,,,,,,,,,,,,,
77632,烏斯蔵,22273,6457,False,0,,,,,,,,,,,,,,,,,,,
77686,新日本三大夜景,28976,7438,False,0,,,,,,,,,,,,,,,,,,,
