page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,下部組織,主義・主張,人数,人数データの年,代表者,代表者の地位職業,任務,別名,協力国,参加した戦争,同盟国,国,基地,成立年,所在地,所属組織,所有兵器,種類,解散年,設立者,読み,起源
8385,アメリカ軍,226324,43182,False,1,,,,,,,,,,,,,,,,,,,,,,,
9643,国連軍,60648,20639,False,0,,,,,,,,,,,,,,,,,,,,,,,
12232,十字軍,158642,50859,False,0,,,,,,,,,,,,,,,,,,,,,,,
17132,連合国軍最高司令官総司令部,196817,59576,False,1,,,,,,,,,,,,,,,,,,,,,,,
17929,ジハード団,68488,14819,False,0,,,,,,,,,,,,,,,,,,,,,,,
20373,自衛隊,504709,155398,False,2,413,123,0,1,1,1,13,99,5,38,0,7,42,2,5,2,19,45,8,0,0,1,1
20738,陸上自衛隊,286329,70069,False,1,,,,,,,,,,,,,,,,,,,,,,,
20740,航空自衛隊,209770,41440,False,1,,,,,,,,,,,,,,,,,,,,,,,
21224,多国籍軍,39131,11627,False,0,,,,,,,,,,,,,,,,,,,,,,,
22434,中国人民解放軍,264179,81865,False,1,,,,,,,,,,,,,,,,,,,,,,,
23120,イェニチェリ,41507,14817,False,0,,,,,,,,,,,,,,,,,,,,,,,
23707,アルビジョア十字軍,86578,21388,False,0,,,,,,,,,,,,,,,,,,,,,,,
24697,特別攻撃隊,1014839,431839,False,0,,,,,,,,,,,,,,,,,,,,,,,
28016,関東軍,101467,35053,False,1,,,,,,,,,,,,,,,,,,,,,,,
28380,聖ヨハネ騎士団,44285,13567,False,0,,,,,,,,,,,,,,,,,,,,,,,
28436,タマネギ部隊,109015,67444,False,0,,,,,,,,,,,,,,,,,,,,,,,
28801,ジャガーの戦士,27006,7935,False,0,,,,,,,,,,,,,,,,,,,,,,,
28802,鷲の戦士,30378,8811,False,0,,,,,,,,,,,,,,,,,,,,,,,
29099,八路軍,52371,19597,False,0,,,,,,,,,,,,,,,,,,,,,,,
29100,新四軍,25724,7947,False,0,,,,,,,,,,,,,,,,,,,,,,,
29302,中央軍集団,51638,13270,False,0,,,,,,,,,,,,,,,,,,,,,,,
31157,中華民国国軍,95106,30539,False,1,,,,,,,,,,,,,,,,,,,,,,,
34522,連合艦隊,153082,37725,False,2,,,,,,,,,,,,,,,,,,,,,,,
35219,神風特別攻撃隊,186616,58980,False,0,,,,,,,,,,,,,,,,,,,,,,,
35915,大日本帝国海軍,97540,27431,False,1,,,,,,,,,,,,,,,,,,,,,,,
37092,高砂義勇隊,49861,17408,False,0,,,,,,,,,,,,,,,,,,,,,,,
38724,フライング・タイガース,66152,30223,False,0,,,,,,,,,,,,,,,,,,,,,,,
40662,アメリカ海兵隊,206918,54405,False,0,,,,,,,,,,,,,,,,,,,,,,,
41139,大日本帝国陸軍,199548,65858,False,1,,,,,,,,,,,,,,,,,,,,,,,
41531,第3師団 (陸上自衛隊),90713,20687,False,1,,,,,,,,,,,,,,,,,,,,,,,
42559,中部方面隊,100639,22198,False,1,,,,,,,,,,,,,,,,,,,,,,,
46979,コンゴ・ザイール解放民主勢力連合,28560,7755,False,0,,,,,,,,,,,,,,,,,,,,,,,
51283,海兵隊航空団,45863,9349,False,0,,,,,,,,,,,,,,,,,,,,,,,
51287,アメリカ海軍,194508,53960,False,0,,,,,,,,,,,,,,,,,,,,,,,
55168,神の抵抗軍,75872,22573,False,2,,,,,,,,,,,,,,,,,,,,,,,
55983,朝鮮人民軍,183722,57980,False,2,,,,,,,,,,,,,,,,,,,,,,,
56109,京都見廻組,28955,8402,False,0,,,,,,,,,,,,,,,,,,,,,,,
56219,靖兵隊,25334,7448,False,0,,,,,,,,,,,,,,,,,,,,,,,
59700,赤軍,116776,48363,False,1,,,,,,,,,,,,,,,,,,,,,,,
61871,ティターンズ,185934,39942,False,0,,,,,,,,,,,,,,,,,,,,,,,
64153,アメリカ特殊作戦軍,79669,30602,False,1,,,,,,,,,,,,,,,,,,,,,,,
64155,アメリカ陸軍特殊作戦コマンド,71485,13956,False,1,38,15,0,0,0,1,6,2,5,0,0,0,1,2,2,0,4,0,0,0,0,0,0
64160,アメリカ陸軍特殊部隊司令部,59030,10281,False,0,,,,,,,,,,,,,,,,,,,,,,,
64167,海軍特殊戦センター,56019,10013,False,0,,,,,,,,,,,,,,,,,,,,,,,
64171,アメリカ海軍特殊戦コマンド,69906,15549,False,1,,,,,,,,,,,,,,,,,,,,,,,
64183,統合特殊作戦コマンド,70212,29824,False,0,,,,,,,,,,,,,,,,,,,,,,,
64414,アメリカ空軍特殊作戦コマンド,66270,14408,False,1,,,,,,,,,,,,,,,,,,,,,,,
64755,地球防衛軍,83036,21923,False,0,,,,,,,,,,,,,,,,,,,,,,,
64757,地球防衛軍 (宇宙戦艦ヤマト),234176,47092,False,0,,,,,,,,,,,,,,,,,,,,,,,
64811,ジョン・F・ケネディ特殊戦センター・アンド・スクール,39535,11354,False,0,,,,,,,,,,,,,,,,,,,,,,,
64820,第1特殊戦訓練グループ,35883,9717,False,0,,,,,,,,,,,,,,,,,,,,,,,
64977,アメリカ陸軍民事活動および心理作戦司令部,62951,12402,False,0,,,,,,,,,,,,,,,,,,,,,,,
71501,アメリカ戦略軍,48814,11776,False,1,,,,,,,,,,,,,,,,,,,,,,,
72368,第二水雷戦隊,105701,30211,False,1,,,,,,,,,,,,,,,,,,,,,,,
72945,ラバウル航空隊,161699,73488,False,0,,,,,,,,,,,,,,,,,,,,,,,
73430,第五航空戦隊,114637,29679,False,1,,,,,,,,,,,,,,,,,,,,,,,
74632,エゥーゴ,184099,33459,False,0,,,,,,,,,,,,,,,,,,,,,,,
77795,イギリス海軍,182843,55930,False,0,,,,,,,,,,,,,,,,,,,,,,,
81337,ソビエト連邦軍,54702,13870,False,1,114,42,7,0,0,1,7,0,12,0,20,0,9,0,2,1,5,2,3,2,0,1,0
81583,武装親衛隊,127733,37538,False,1,,,,,,,,,,,,,,,,,,,,,,,
83239,突撃隊,302977,82195,False,1,,,,,,,,,,,,,,,,,,,,,,,
83330,ハガナー,35145,9401,False,1,,,,,,,,,,,,,,,,,,,,,,,
83809,自衛艦隊,96338,27050,False,1,,,,,,,,,,,,,,,,,,,,,,,
83881,コンスル (テロ組織),28142,7606,False,0,,,,,,,,,,,,,,,,,,,,,,,
