page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,人口,使用言語,別名,取得の条件,国,大陸分布地域,宗教・信仰,居住地（地域）,居住地（地形）,民族,民族団体,読み
3929,アラブ人,68239,17358,False,1,85,1,12,6,0,30,6,12,2,2,13,0,1
11737,在日韓国・朝鮮人,706279,223151,False,1,741,2,20,154,0,181,0,4,71,0,175,133,1
14241,華僑,99162,21241,False,0,,,,,,,,,,,,,
16044,五胡,40346,13339,False,0,,,,,,,,,,,,,
23042,トルコ人,128804,25062,False,1,114,2,10,5,0,53,5,9,6,1,22,0,1
26508,キルギス人,83393,17455,False,1,127,1,5,14,0,45,5,9,8,8,32,0,0
28506,スペイン人,97430,41864,False,1,364,1,34,5,0,95,19,11,107,4,87,0,1
41062,倭人,112585,39564,False,0,167,0,0,18,0,86,1,0,0,21,40,0,1
46516,日本国籍,104734,19310,False,0,14,0,0,0,12,0,0,0,0,0,0,0,2
51603,朝鮮籍,58326,20354,False,0,37,2,0,0,2,19,0,0,0,0,13,0,1
53191,ハザーラ人,32382,8581,False,0,,,,,,,,,,,,,
58051,ギリシャ人,116295,29299,False,1,188,1,9,10,0,101,12,8,15,5,26,0,1
68990,イタリア人,71413,20874,False,1,120,1,5,2,5,67,0,1,2,1,35,0,1
77627,西番,25342,7021,False,0,5,0,0,1,0,2,0,0,1,0,1,0,0
83521,アフリカ系アメリカ人,138540,42327,False,1,140,1,7,27,0,28,0,5,3,0,69,0,0
84348,アレウト族,31611,9664,False,0,,,,,,,,,,,,,
90248,日系ブラジル人,225843,83200,False,1,504,2,49,2,0,200,0,9,63,0,156,22,1
104086,ロシア人,112648,24177,False,1,124,2,12,1,0,50,0,43,1,0,15,0,0
124514,タイ人,45042,12230,False,1,69,1,6,6,2,19,1,1,3,1,29,0,0
124532,ラオス人,22667,6700,False,0,12,0,0,0,0,2,0,0,0,0,10,0,0
128356,アボリジニ,117573,38282,False,0,,,,,,,,,,,,,
128930,ウクライナ人,129503,36751,False,1,198,1,25,12,0,105,5,13,19,2,11,5,0
130796,白系ロシア人,66537,18255,False,0,62,0,3,6,0,19,0,9,0,0,22,2,1
135352,イスラエル人,30678,8108,False,1,29,1,6,3,0,6,0,8,1,0,4,0,0
141742,チェチェン人,58879,12497,False,0,34,0,1,5,0,9,6,4,3,1,5,0,0
142210,グウィッチン,21464,5683,False,0,,,,,,,,,,,,,
150965,ハンガリー人,22336,6306,True,0,11,0,0,0,0,6,0,0,1,0,4,0,0
169919,アルメニア人,37053,11038,False,0,19,0,1,2,0,13,0,2,0,0,0,0,1
184889,チェコ人,41683,10141,False,0,22,0,3,1,0,12,0,0,0,0,6,0,0
199628,ポーランド人,75439,21026,False,1,97,1,9,1,0,48,2,2,0,0,34,0,0
200401,日系アメリカ人,218475,68596,False,1,203,1,15,5,0,27,2,3,50,1,86,12,1
208613,韓国系アメリカ人,70638,18012,False,1,61,2,2,6,0,16,0,6,21,0,6,1,1
216518,中国人,29166,8743,False,0,31,0,0,2,1,8,1,0,7,0,11,0,1
222765,ドイツ人,99535,36609,False,1,274,1,20,16,3,110,22,7,30,1,63,0,1
251120,イギリス人,67689,13165,False,1,68,2,8,4,0,39,0,7,2,0,5,0,1
259441,小日本,37794,9308,False,1,27,0,0,8,0,9,0,0,0,0,4,0,6
298847,モンテネグロ人,34732,8139,False,0,17,0,0,0,0,6,1,2,0,0,8,0,0
302911,アジア系カナダ人,24827,7265,False,0,15,0,0,1,0,4,0,0,1,0,9,0,0
305028,中国残留日本人,69357,26127,False,0,79,0,2,37,0,31,2,0,1,0,5,0,1
329284,セルビア人,48542,11929,False,0,37,0,0,2,0,26,0,3,0,1,5,0,0
338610,ルパカ,23100,7927,False,0,19,0,3,1,0,8,0,0,2,2,3,0,0
358506,アルバニア人,71031,14751,False,1,87,1,7,2,0,56,0,7,3,2,8,0,1
406187,アイルランド人,105264,21448,False,1,113,1,7,1,0,37,3,10,6,6,42,0,0
432577,帰化日本人,20546,5855,True,0,,,,,,,,,,,,,
451656,ルーマニア人,35386,10103,False,0,25,0,3,4,0,10,1,2,3,0,2,0,0
457516,フランス人,130377,39937,False,2,290,2,69,3,1,101,9,16,21,6,61,0,1
469510,クロアチア人,75917,23925,False,0,140,0,6,3,0,62,8,9,29,2,21,0,0
469523,ブルガリア人,38786,9092,False,0,21,0,2,1,0,7,1,0,0,0,10,0,0
472248,マケドニア人,40548,10121,False,0,25,0,3,2,0,13,0,0,3,0,3,0,1
474262,ボスニア人,32608,11222,False,0,60,0,2,4,0,17,0,12,0,0,25,0,0
484187,ポーランド系アメリカ人,57206,14911,False,1,59,1,3,3,0,5,0,8,26,0,13,0,0
484702,イタリア系アメリカ人,96285,26467,False,1,73,2,5,4,0,12,3,5,20,0,20,1,1
505320,アイルランド系アメリカ人,79915,22298,False,1,76,2,1,4,0,9,1,11,15,0,32,0,1
536567,フィンランド人,28503,8100,False,0,11,0,2,0,0,2,0,0,0,0,7,0,0
550970,ユーゴスラビア人,25289,8697,False,0,22,1,0,1,0,17,0,0,2,0,0,0,1
