page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,人数,人数データの年,代表者,代表者の役職,出版物,別名,後継組織,成立時の構成組織,所属組織,本拠地,本拠地国,業界,機関紙,法令,活動内容,種類,解散年,設立年,設立目的,設立者,読み,資本金,資本金データの年
2166,Mozilla Foundation,104292,19563,False,1,,,,,,,,,,,,,,,,,,,,,,,,
2472,World Wide Web Consortium,93500,18657,False,1,,,,,,,,,,,,,,,,,,,,,,,,
2580,日本中央競馬会,181610,47972,False,1,,,,,,,,,,,,,,,,,,,,,,,,
2728,IEEE,35317,10337,False,0,,,,,,,,,,,,,,,,,,,,,,,,
2902,フリーソフトウェア財団,209460,46333,False,1,,,,,,,,,,,,,,,,,,,,,,,,
3469,DVDフォーラム,31784,8909,False,0,,,,,,,,,,,,,,,,,,,,,,,,
3796,クリエイティブ・コモンズ,113162,28313,False,1,,,,,,,,,,,,,,,,,,,,,,,,
5826,米国国家規格協会,33383,9566,False,1,,,,,,,,,,,,,,,,,,,,,,,,
5979,Globus,23632,6953,False,0,,,,,,,,,,,,,,,,,,,,,,,,
6189,Internet Assigned Numbers Authority,22700,6508,False,0,,,,,,,,,,,,,,,,,,,,,,,,
6452,宇宙開発事業団,104106,24118,False,0,,,,,,,,,,,,,,,,,,,,,,,,
6888,都市再生機構,97782,20534,False,1,,,,,,,,,,,,,,,,,,,,,,,,
7211,日本音楽著作権協会,124099,40790,False,1,,,,,,,,,,,,,,,,,,,,,,,,
8261,映画産業団体連合会,21709,5922,False,0,,,,,,,,,,,,,,,,,,,,,,,,
8798,日本サッカー協会,319731,86447,False,1,,,,,,,,,,,,,,,,,,,,,,,,
9904,Association for Computing Machinery,39388,12455,False,0,,,,,,,,,,,,,,,,,,,,,,,,
11671,治験審査委員会,26323,7811,False,0,,,,,,,,,,,,,,,,,,,,,,,,
11718,日本将棋連盟,126712,26883,False,1,,,,,,,,,,,,,,,,,,,,,,,,
12677,日本陸上競技連盟,65224,18845,False,1,,,,,,,,,,,,,,,,,,,,,,,,
12684,TOPPERSプロジェクト,100810,37197,False,1,,,,,,,,,,,,,,,,,,,,,,,,
13594,日本天文学会,53923,17108,False,1,,,,,,,,,,,,,,,,,,,,,,,,
14618,徳間記念アニメーション文化財団,44725,9633,False,1,,,,,,,,,,,,,,,,,,,,,,,,
15828,応用物理学会,49987,13390,False,1,,,,,,,,,,,,,,,,,,,,,,,,
16583,大阪フィルハーモニー交響楽団,165664,56554,False,1,,,,,,,,,,,,,,,,,,,,,,,,
17066,労働政策研究・研修機構,100380,26608,False,1,,,,,,,,,,,,,,,,,,,,,,,,
17114,国立印刷局,112534,26042,False,1,,,,,,,,,,,,,,,,,,,,,,,,
17472,日本道路公団,142001,28901,False,1,,,,,,,,,,,,,,,,,,,,,,,,
