page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,下部組織,代表者,代表者の地位職業,別名,国・地域,後継組織,成立年,成立時の構成組織,所在地,所属組織,種類,解散年,読み
1172,GNU,209917,43932,False,1,,,,,,,,,,,,,,
1262,銃士戦隊フランスファイブ,44176,18282,False,0,,,,,,,,,,,,,,
1342,藤子不二雄,115967,40071,False,1,,,,,,,,,,,,,,
1614,東ケト会,53861,20923,False,0,24,0,2,1,10,1,5,2,0,0,0,2,0,1
2068,ゆでたまご,108538,42522,False,1,,,,,,,,,,,,,,
3247,セブン,30361,8476,True,0,,,,,,,,,,,,,,
3469,DVDフォーラム,31784,8909,False,0,,,,,,,,,,,,,,
4639,黄金の夜明け団,33258,9480,False,0,,,,,,,,,,,,,,
5010,ターリバーン,180825,60757,False,1,,,,,,,,,,,,,,
5030,フジニュースネットワーク,332332,69316,False,0,,,,,,,,,,,,,,
5866,薔薇十字団,47549,15999,False,0,,,,,,,,,,,,,,
6186,Internet Engineering Task Force,23445,7053,False,0,,,,,,,,,,,,,,
7215,宇宙作家クラブ,32370,8064,False,0,,,,,,,,,,,,,,
7518,ニコラ・ブルバキ,41172,13554,False,0,,,,,,,,,,,,,,
7569,ITU-T,265321,106845,False,0,,,,,,,,,,,,,,
7588,Joint Photographic Experts Group,55626,16660,False,0,,,,,,,,,,,,,,
7594,IrDA,39627,15001,False,0,,,,,,,,,,,,,,
7969,パルボックス,36000,7965,False,0,,,,,,,,,,,,,,
9660,新選組,273826,68254,False,1,,,,,,,,,,,,,,
10870,JNN,331821,91531,False,0,,,,,,,,,,,,,,
13058,徳川御三家,43990,14065,False,1,,,,,,,,,,,,,,
13875,もじら組,43312,10236,False,0,,,,,,,,,,,,,,
15897,ハロー!プロジェクト,432762,161564,False,0,,,,,,,,,,,,,,
17491,室山まゆみ,54826,20719,False,1,,,,,,,,,,,,,,
20975,ネーション・オブ・イスラム,62962,16046,False,0,,,,,,,,,,,,,,
25934,Fedora Project,36684,8095,False,0,,,,,,,,,,,,,,
26029,Open Source Initiative,87442,21258,False,0,,,,,,,,,,,,,,
26463,スペースノイドとアースノイド,150196,22244,False,0,,,,,,,,,,,,,,
26917,全日本ぷよ協会,36613,8670,False,0,,,,,,,,,,,,,,
28436,タマネギ部隊,109015,67444,False,0,,,,,,,,,,,,,,
28489,平民社,40461,14516,False,0,,,,,,,,,,,,,,
30921,アブー・ハフス・アル＝マスリー殉教旅団,21915,5952,False,0,,,,,,,,,,,,,,
31041,警察予備隊,89187,26807,False,1,,,,,,,,,,,,,,
31276,サレジオ会,35945,10858,False,1,,,,,,,,,,,,,,
31277,神言会,30366,8276,False,0,,,,,,,,,,,,,,
31282,ドミニコ会,50235,12940,False,0,,,,,,,,,,,,,,
31290,パリ外国宣教会,115805,23989,False,0,,,,,,,,,,,,,,
32715,青騎士,132849,43767,False,0,,,,,,,,,,,,,,
33831,アイビー・リーグ,118771,37512,False,2,,,,,,,,,,,,,,
33838,ブリュッケ,56064,11918,False,0,,,,,,,,,,,,,,
34156,都営バス,243523,98009,False,0,,,,,,,,,,,,,,
34175,KDE,142172,29816,False,1,,,,,,,,,,,,,,
35452,ナショナルドラッグチェーン,79230,18236,False,0,,,,,,,,,,,,,,
35917,デ・ステイル,62673,12946,False,0,,,,,,,,,,,,,,
36412,ライト兄弟,76669,30583,False,0,,,,,,,,,,,,,,
38048,アイルランド共和軍,78179,27079,False,0,,,,,,,,,,,,,,
38482,売文社,23330,6520,False,0,,,,,,,,,,,,,,
38724,フライング・タイガース,66152,30223,False,0,,,,,,,,,,,,,,
42524,マナカナ,327243,118380,False,2,,,,,,,,,,,,,,
43465,極東連邦管区,57685,12090,False,1,,,,,,,,,,,,,,
43468,シベリア連邦管区,54982,11271,False,0,,,,,,,,,,,,,,
43470,ウラル連邦管区,54924,11225,False,0,,,,,,,,,,,,,,
