page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,下部組織,主義・主張,交付金データの年,人数,人数データの年,代表者,代表者の地位職業,別名,国,国際組織,後継組織,成立年,成立時の構成組織,所在地,支持団体,政党交付金,政策,機関紙,歴代の元首・首班,派閥・グループ,理念・スローガン,解散年,読み
4606,バアス党,125642,37232,False,1,,,,,,,,,,,,,,,,,,,,,,,,
6745,自由党 (日本 1998-2003),117766,25160,False,1,,,,,,,,,,,,,,,,,,,,,,,,
12827,民主党 (日本 1947-1950),144938,26436,False,1,,,,,,,,,,,,,,,,,,,,,,,,
12864,日本社会党,252549,80520,False,1,,,,,,,,,,,,,,,,,,,,,,,,
13155,社会民主党 (日本 1996-),393284,104266,False,1,,,,,,,,,,,,,,,,,,,,,,,,
14985,日本共産党,725062,271401,False,1,,,,,,,,,,,,,,,,,,,,,,,,
15012,公明党,383105,118989,False,1,,,,,,,,,,,,,,,,,,,,,,,,
16326,太陽党,70835,14969,False,1,,,,,,,,,,,,,,,,,,,,,,,,
16804,社会民主連合,77252,19064,False,1,94,0,14,0,0,0,5,2,9,2,0,14,3,33,0,0,0,2,0,0,0,5,4,1
16851,民社党,117750,36190,False,1,,,,,,,,,,,,,,,,,,,,,,,,
19025,新進党,96496,26647,False,1,,,,,,,,,,,,,,,,,,,,,,,,
21228,新党さきがけ,74520,22302,False,1,,,,,,,,,,,,,,,,,,,,,,,,
21703,保守新党,189049,30391,False,1,,,,,,,,,,,,,,,,,,,,,,,,
25600,無所属の会,77840,33771,False,0,,,,,,,,,,,,,,,,,,,,,,,,
26453,イラク国民会議,46918,9359,False,1,,,,,,,,,,,,,,,,,,,,,,,,
29055,ドイツキリスト教民主同盟,138279,37535,False,1,,,,,,,,,,,,,,,,,,,,,,,,
29058,ドイツ社会民主党,211097,65611,False,1,,,,,,,,,,,,,,,,,,,,,,,,
30583,アメリカ共産党,82605,20189,False,1,,,,,,,,,,,,,,,,,,,,,,,,
30585,アメリカ社会党,61507,13155,False,1,,,,,,,,,,,,,,,,,,,,,,,,
30588,アメリカ緑の党,71819,15430,False,1,38,0,7,0,1,1,7,4,5,8,1,0,1,0,1,0,0,0,0,0,0,1,0,1
30589,リバタリアン党 (アメリカ),83221,23351,False,1,50,0,9,0,1,1,1,1,5,4,1,0,2,0,1,0,0,20,0,0,0,3,0,1
30591,自然法党 (アメリカ),43361,9358,False,0,,,,,,,,,,,,,,,,,,,,,,,,
31443,中国国民党,110373,29425,False,1,,,,,,,,,,,,,,,,,,,,,,,,
31450,台湾国民党,36759,8453,False,1,25,0,3,0,1,1,3,2,1,8,0,0,3,0,2,0,0,0,0,0,0,0,0,1
31711,新自由クラブ,198864,44445,False,1,,,,,,,,,,,,,,,,,,,,,,,,
31814,フォルツァ・イタリア,47694,11395,False,1,,,,,,,,,,,,,,,,,,,,,,,,
33117,民主党 (アメリカ),191159,47514,False,1,110,0,17,0,1,1,1,1,2,4,1,0,1,1,2,26,0,23,0,25,2,1,0,1
33135,共和党 (アメリカ),210919,58892,False,1,105,0,19,0,1,1,1,1,4,3,2,0,2,0,1,23,0,18,0,27,1,0,0,1
