page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,主要都市,人口,人口データの年,人口密度,別名,合併自治体,国,国内位置,地名の謂れ,地形,州都・県庁・郡庁所在地,座標・経度,座標・緯度,恒例行事,成立年,所在地,接する国,消滅年,特産品,産業,種類,観光地,読み,隣接自治体,面積,首長
271,岩手県,285685,70412,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,秋田県,323539,86022,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,石川県,399901,105518,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,愛媛県,367227,87582,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,大分県,236898,55331,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,岡山県,382365,100315,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,沖縄県,513417,130123,False,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,香川県,342610,92505,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,岐阜県,303637,67073,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,熊本県,206576,45684,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,高知県,254708,58888,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,佐賀県,394269,115307,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,滋賀県,317625,97165,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,静岡県,332847,87330,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,島根県,250577,59181,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,徳島県,327004,78430,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,栃木県,417601,109425,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,鳥取県,238725,51409,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,長崎県,274622,63571,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,長野県,371871,85913,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,新潟県,287863,63359,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,兵庫県,357393,94039,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,広島県,292392,70757,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
