page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,ダム,別名,動物,名前の謂れ,国,国内位置,平均流量,所在地,橋・トンネル,水源,水源の標高,流入・合流先,流入元,流域面積,観光地,読み,長さ
8430,信濃川,164419,51538,False,1,,,,,,,,,,,,,,,,,,
9749,黒川 (那珂川水系),31660,7629,False,1,,,,,,,,,,,,,,,,,,
13901,利根川,614395,220912,False,2,,,,,,,,,,,,,,,,,,
17064,荒川 (関東),164265,42896,False,2,,,,,,,,,,,,,,,,,,
17067,隅田川,99195,23961,False,1,,,,,,,,,,,,,,,,,,
17072,新河岸川,68395,18693,False,1,,,,,,,,,,,,,,,,,,
17183,神通川,76206,18996,False,1,,,,,,,,,,,,,,,,,,
17211,芝川 (埼玉県),56889,17182,False,1,,,,,,,,,,,,,,,,,,
25002,ミシシッピ川,109142,40405,False,1,,,,,,,,,,,,,,,,,,
25470,柿田川,63725,13765,False,2,,,,,,,,,,,,,,,,,,
25616,四万十川,100725,24000,False,1,,,,,,,,,,,,,,,,,,
25713,黄瀬川,33393,8069,False,1,,,,,,,,,,,,,,,,,,
26003,相模川,96190,18338,False,1,,,,,,,,,,,,,,,,,,
26008,相模川 (滋賀県),27095,7174,False,0,,,,,,,,,,,,,,,,,,
26114,鶴見川,117588,33542,False,1,,,,,,,,,,,,,,,,,,
27113,石狩川,270191,62207,False,1,,,,,,,,,,,,,,,,,,
27116,新川 (北海道),56282,14903,False,1,,,,,,,,,,,,,,,,,,
27367,江戸川,53583,13930,False,1,,,,,,,,,,,,,,,,,,
27485,豊平川,81774,19148,False,1,,,,,,,,,,,,,,,,,,
28420,広瀬川 (宮城県),91894,25389,False,1,,,,,,,,,,,,,,,,,,
29298,黄河,103304,43598,False,1,,,,,,,,,,,,,,,,,,
29439,天塩川,138399,26536,False,1,,,,,,,,,,,,,,,,,,
29526,留萌川,75787,11813,False,1,,,,,,,,,,,,,,,,,,
29691,十勝川,131165,22723,False,1,,,,,,,,,,,,,,,,,,
29848,釧路川,94303,15599,False,1,,,,,,,,,,,,,,,,,,
30403,木曽川,214209,61472,False,1,,,,,,,,,,,,,,,,,,
32099,長江,120751,41687,False,1,,,,,,,,,,,,,,,,,,
34613,揖斐川,46196,10956,False,1,,,,,,,,,,,,,,,,,,
34724,千代川,49556,9913,False,1,,,,,,,,,,,,,,,,,,
34726,日野川,50009,9690,False,1,,,,,,,,,,,,,,,,,,
34729,吉井川,57204,12548,False,1,61,1,10,2,1,1,0,1,28,2,3,1,2,4,1,2,1,1
34731,高梁川,86199,21662,False,1,,,,,,,,,,,,,,,,,,
34733,天神川,51255,10067,False,1,,,,,,,,,,,,,,,,,,
34735,斐伊川,66863,11933,False,1,,,,,,,,,,,,,,,,,,
34854,木曽三川,28795,8095,False,0,,,,,,,,,,,,,,,,,,
36677,帷子川,53401,15763,False,1,91,0,0,37,1,0,0,0,22,3,1,1,7,9,1,6,2,1
41251,富士川,95555,22353,False,1,,,,,,,,,,,,,,,,,,
42429,鬼怒川,85963,24624,False,1,,,,,,,,,,,,,,,,,,
42431,小貝川,47810,12361,False,1,122,2,5,1,1,0,0,0,30,57,2,0,9,11,1,0,1,2
43782,吉野川,147304,50510,False,1,,,,,,,,,,,,,,,,,,
46407,筑後川,256272,95338,False,1,,,,,,,,,,,,,,,,,,
46671,ライン川,113698,43867,False,1,,,,,,,,,,,,,,,,,,
46678,ドナウ川,136940,44604,False,1,,,,,,,,,,,,,,,,,,
47668,大和川,97909,27799,False,1,,,,,,,,,,,,,,,,,,
48684,ニジェール川,112591,42806,False,1,,,,,,,,,,,,,,,,,,
50011,浅川 (東京都),37774,9914,False,1,,,,,,,,,,,,,,,,,,
50144,ヴォルガ川,110827,41676,False,1,,,,,,,,,,,,,,,,,,
50546,桂川 (淀川水系),68323,23045,False,1,,,,,,,,,,,,,,,,,,
53326,精進川,44940,14909,False,1,,,,,,,,,,,,,,,,,,
53793,北上川,108148,34367,False,1,,,,,,,,,,,,,,,,,,
53871,鴨川 (淀川水系),76687,28013,False,1,,,,,,,,,,,,,,,,,,
54799,ウラル川,35664,8602,False,1,,,,,,,,,,,,,,,,,,
55561,創成川,55650,17511,False,0,,,,,,,,,,,,,,,,,,
56133,渡良瀬川,78097,18856,False,2,,,,,,,,,,,,,,,,,,
56185,アマゾン川,112107,39763,False,1,,,,,,,,,,,,,,,,,,
57226,ドン川,36689,8957,False,1,,,,,,,,,,,,,,,,,,
57279,ヨルダン川,47677,10832,False,1,,,,,,,,,,,,,,,,,,
57547,ドニエプル川,53241,12231,False,1,,,,,,,,,,,,,,,,,,
58433,柏尾川,35133,10493,False,1,,,,,,,,,,,,,,,,,,
59366,大井川,120767,46567,False,1,,,,,,,,,,,,,,,,,,
60450,犀川 (石川県),44136,12280,False,1,,,,,,,,,,,,,,,,,,
60466,浅野川,40615,11258,False,1,,,,,,,,,,,,,,,,,,
60581,最上川,155908,49771,False,1,,,,,,,,,,,,,,,,,,
62779,野川 (東京都),69224,19770,False,1,,,,,,,,,,,,,,,,,,
63106,ルビコン川,56494,17272,False,1,,,,,,,,,,,,,,,,,,
63117,中川,72582,20674,False,1,,,,,,,,,,,,,,,,,,
63675,鴨川 (埼玉県),50484,14043,False,1,,,,,,,,,,,,,,,,,,
64018,テヴェレ川,35635,9321,False,1,,,,,,,,,,,,,,,,,,
64182,加古川,104403,28553,False,1,,,,,,,,,,,,,,,,,,
64531,ポー川,63230,14412,False,2,,,,,,,,,,,,,,,,,,
64647,アディジェ川,37597,8921,False,1,,,,,,,,,,,,,,,,,,
66172,天竜川,99128,31095,False,1,,,,,,,,,,,,,,,,,,
66620,登別川,44184,10092,False,1,,,,,,,,,,,,,,,,,,
66657,クスリサンベツ川,40435,8780,False,1,,,,,,,,,,,,,,,,,,
67104,ポンアヨロ川,39615,8287,False,1,,,,,,,,,,,,,,,,,,
67435,国領川,25353,7718,False,1,,,,,,,,,,,,,,,,,,
68647,安倍川,54363,12403,False,1,,,,,,,,,,,,,,,,,,
68938,琴似発寒川,45060,11067,False,1,,,,,,,,,,,,,,,,,,
69852,馬見ヶ崎川,43411,12654,False,1,,,,,,,,,,,,,,,,,,
69865,須川,38526,10918,False,1,,,,,,,,,,,,,,,,,,
71552,月寒川,33378,9132,False,1,,,,,,,,,,,,,,,,,,
71556,望月寒川,29046,7987,False,1,,,,,,,,,,,,,,,,,,
72903,寝屋川,41990,12426,False,1,,,,,,,,,,,,,,,,,,
74141,那珂川,108211,34364,False,1,,,,,,,,,,,,,,,,,,
76611,アムール川,63568,15997,False,1,,,,,,,,,,,,,,,,,,
76985,麻生川,38301,8687,False,1,,,,,,,,,,,,,,,,,,
77698,鴨緑江,97624,16365,False,4,,,,,,,,,,,,,,,,,,
78026,野津幌川,25106,7691,False,0,,,,,,,,,,,,,,,,,,
79399,那珂川 (九州),46077,12167,False,1,,,,,,,,,,,,,,,,,,
79958,目黒川,47532,13564,False,1,,,,,,,,,,,,,,,,,,
80150,水無瀬川,29424,8581,False,1,,,,,,,,,,,,,,,,,,
80396,熊野川,63978,13806,False,1,,,,,,,,,,,,,,,,,,
81005,オリノコ川,35041,9094,False,1,,,,,,,,,,,,,,,,,,
82893,綾瀬川,65625,18928,False,1,,,,,,,,,,,,,,,,,,
83441,阿賀野川,208721,74830,False,1,,,,,,,,,,,,,,,,,,
84963,網走川,82273,12373,False,1,,,,,,,,,,,,,,,,,,
85749,真駒内川,23339,7207,False,0,,,,,,,,,,,,,,,,,,
85783,マース川,41509,10596,False,1,,,,,,,,,,,,,,,,,,
85987,長良川,118765,27623,False,1,,,,,,,,,,,,,,,,,,
86928,北の沢川,29563,7985,False,1,,,,,,,,,,,,,,,,,,
88043,イルメナウ川,30310,7484,False,1,,,,,,,,,,,,,,,,,,
88629,ユーフラテス川,39833,10479,False,1,,,,,,,,,,,,,,,,,,
88651,チグリス川,28882,7823,False,1,,,,,,,,,,,,,,,,,,
89337,天野川 (大阪府),30736,7979,False,1,,,,,,,,,,,,,,,,,,
90914,ガンジス川,142524,44713,False,1,,,,,,,,,,,,,,,,,,
90920,渭水,33283,8940,False,1,,,,,,,,,,,,,,,,,,
91644,市川 (兵庫県),34315,8573,False,1,,,,,,,,,,,,,,,,,,
91662,夢前川,28803,7254,False,1,,,,,,,,,,,,,,,,,,
91701,由良川,59888,13561,False,1,,,,,,,,,,,,,,,,,,
91747,円山川,90785,18742,False,1,,,,,,,,,,,,,,,,,,
92238,木津川 (京都府),57237,16795,False,1,,,,,,,,,,,,,,,,,,
92262,野洲川,33124,9351,False,1,,,,,,,,,,,,,,,,,,
92271,安曇川,28346,7641,False,1,,,,,,,,,,,,,,,,,,
92973,入間川 (埼玉県),62503,16863,False,2,,,,,,,,,,,,,,,,,,
