page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,公園,別名,動物,名前の謂れ,国,属する海域,島,幅,平均水深,座標・経度,座標・緯度,形成時期,所在地,最大水深,構成する海域,橋・トンネル,水深,河川,沿岸地域区分,流速,海岸,港,産業,種類,表面積,観光地,読み,長さ
5330,太平洋,218770,46956,False,1,401,0,9,6,1,130,0,69,1,2,0,0,0,1,2,68,0,0,0,22,0,0,83,3,1,2,0,1,0
6542,日本海,107092,27707,False,0,224,16,32,27,0,19,6,22,0,1,0,0,1,2,1,12,0,0,0,69,0,1,0,6,2,1,5,1,0
8742,大西洋,184182,51852,False,1,370,0,1,6,0,152,0,28,1,1,0,0,1,1,1,76,0,0,19,73,0,0,0,6,2,1,0,1,0
9570,インド洋,186041,49720,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12977,エーゲ海,65932,15102,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13370,地中海,162788,45090,False,1,279,0,16,0,5,99,1,29,0,1,4,4,1,2,1,20,0,0,10,76,0,0,0,4,4,1,0,1,0
19542,マルマラ海,50625,10779,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21142,マゼラン海峡,29698,8450,False,0,18,0,8,0,3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24054,瀬戸内海,194995,59904,False,0,483,1,6,95,2,1,0,52,1,2,2,2,1,1,2,54,6,0,11,131,0,1,24,53,5,2,26,1,1
26301,黒海,138599,43964,False,2,329,0,27,5,1,112,1,1,0,2,4,4,0,2,4,0,0,0,18,86,0,11,23,11,5,3,5,2,2
26745,バルト海,189514,58762,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26747,北海,153088,42676,False,1,190,0,9,5,0,77,5,15,2,2,5,5,0,1,2,3,0,0,16,13,0,0,8,16,1,2,0,1,2
27795,東シナ海,80108,16504,False,4,69,0,27,0,0,8,1,7,0,0,0,0,0,4,0,1,0,2,1,0,0,0,0,2,2,0,0,14,0
27915,対馬海峡,50248,14896,False,0,53,0,25,0,0,3,0,9,1,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0
29541,オホーツク海,56628,13482,False,0,71,2,3,11,1,0,5,22,0,1,0,0,0,3,1,5,0,2,4,4,0,0,1,2,2,1,0,1,0
29546,宗谷海峡,40591,11551,False,0,35,0,4,0,1,3,0,10,1,0,2,2,0,1,1,0,0,0,0,6,0,0,1,0,2,0,0,1,0
32119,黄海,57652,13406,False,3,56,0,23,0,1,11,2,2,0,1,0,0,0,1,0,4,0,0,3,0,0,0,0,1,2,0,0,5,0
32645,南シナ海,98477,22735,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37541,珊瑚海,48290,10319,False,0,19,0,1,0,0,2,0,5,0,0,0,0,1,2,0,3,0,0,0,3,0,0,0,0,1,0,0,1,0
39115,ジブラルタル海峡,39911,10768,False,0,36,0,3,0,0,5,0,0,2,0,2,2,1,5,1,0,0,1,0,9,1,0,0,0,1,0,2,1,0
44315,津軽海峡,61428,16929,False,0,45,0,2,0,0,3,0,0,3,0,3,3,0,1,1,0,2,1,0,15,0,0,8,0,1,0,0,1,1
46998,モザンビーク海峡,53672,10992,False,0,18,0,2,0,0,5,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
48508,テチス海,29357,8837,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51240,ボスポラス海峡,44364,12422,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
