page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,メンバー,作品,別名,創設者,創設者の地位職業,受賞歴,名前の謂れ,後継組織,所属組織,本拠地,本拠地の劇場,本拠地国,来日公演年,来日公演時メンバー,活動期間,演目のジャンル,現在の人数,種類,結成年,解散年,読み,過去の組織名
263,カーペンターズ,224836,86577,False,1,,,,,,,,,,,,,,,,,,,,,,,
586,セイントフォー,57456,23262,False,1,,,,,,,,,,,,,,,,,,,,,,,
589,アース・ウィンド・アンド・ファイアー,108926,30517,False,1,,,,,,,,,,,,,,,,,,,,,,,
635,チェッカーズ,201538,67343,False,1,,,,,,,,,,,,,,,,,,,,,,,
713,東京スカパラダイスオーケストラ,205418,71657,False,1,,,,,,,,,,,,,,,,,,,,,,,
1650,ラーメンズ,117839,36180,False,1,,,,,,,,,,,,,,,,,,,,,,,
2011,ムーンライダーズ,133246,40238,False,1,,,,,,,,,,,,,,,,,,,,,,,
2178,はっぴいえんど,144159,33929,False,1,,,,,,,,,,,,,,,,,,,,,,,
2182,イエロー・マジック・オーケストラ,422488,150620,False,1,,,,,,,,,,,,,,,,,,,,,,,
2322,シュガー・ベイブ,281058,106315,False,1,,,,,,,,,,,,,,,,,,,,,,,
2408,135 (バンド),37281,13496,False,0,,,,,,,,,,,,,,,,,,,,,,,
2449,ネルソンスーパープロジェクト,26489,9426,False,0,,,,,,,,,,,,,,,,,,,,,,,
2497,とんねるず,514346,155651,False,2,,,,,,,,,,,,,,,,,,,,,,,
2571,山弦,24811,7252,False,0,,,,,,,,,,,,,,,,,,,,,,,
3731,U2,195769,57938,False,1,,,,,,,,,,,,,,,,,,,,,,,
4108,テツandトモ,177495,46328,False,2,,,,,,,,,,,,,,,,,,,,,,,
4916,ディープ・パープル,194187,69798,False,1,,,,,,,,,,,,,,,,,,,,,,,
4917,レッド・ツェッペリン,133020,44370,False,1,,,,,,,,,,,,,,,,,,,,,,,
4920,ローリング・ストーンズ,416827,141131,False,1,,,,,,,,,,,,,,,,,,,,,,,
5199,ピチカート・ファイヴ,138971,35788,False,1,,,,,,,,,,,,,,,,,,,,,,,
5780,ラトルズ,67884,20963,False,2,,,,,,,,,,,,,,,,,,,,,,,
6631,クリーム (バンド),103547,29867,False,1,,,,,,,,,,,,,,,,,,,,,,,
6657,PUFFY,265453,66069,False,1,,,,,,,,,,,,,,,,,,,,,,,
6835,B'z,326649,102682,False,1,,,,,,,,,,,,,,,,,,,,,,,
