page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,pH,付近の河川,別名,名前の謂れ,国名,属する温泉郷,座標・経度,座標・緯度,所在地,最寄路線,最寄駅,構成する温泉,泉温,泉質,液性,湧出量,源泉名,観光地,記念碑,読み,開湯年
9754,黒川温泉,68572,19049,False,1,,,,,,,,,,,,,,,,,,,,,,
9756,阿蘇温泉郷,20212,5469,False,0,,,,,,,,,,,,,,,,,,,,,,
25457,北投温泉,75347,13860,False,1,,,,,,,,,,,,,,,,,,,,,,
40420,別所温泉,81253,23714,False,1,,,,,,,,,,,,,,,,,,,,,,
60706,有馬温泉,105355,24815,False,1,,,,,,,,,,,,,,,,,,,,,,
61349,酸ヶ湯,73135,16868,False,1,,,,,,,,,,,,,,,,,,,,,,
61358,夏油温泉,48057,10371,False,1,,,,,,,,,,,,,,,,,,,,,,
61415,鶴巻温泉,31385,7869,False,1,,,,,,,,,,,,,,,,,,,,,,
61738,後生掛温泉,60172,15453,False,1,,,,,,,,,,,,,,,,,,,,,,
61756,塩原温泉郷,46215,13625,False,0,53,0,5,2,0,0,1,0,0,3,5,5,11,0,1,0,0,0,18,0,1,1
61791,那須温泉郷,85917,21144,False,2,,,,,,,,,,,,,,,,,,,,,,
61929,洞川温泉,58647,12590,False,1,,,,,,,,,,,,,,,,,,,,,,
61939,岳温泉,57706,12830,False,1,26,0,1,0,0,0,0,2,2,5,2,2,0,2,2,0,0,0,6,0,1,1
61978,城崎温泉,82833,20595,False,1,,,,,,,,,,,,,,,,,,,,,,
61981,中ノ沢温泉,50988,10830,False,1,,,,,,,,,,,,,,,,,,,,,,
70500,道後温泉,102174,30436,False,1,,,,,,,,,,,,,,,,,,,,,,
71157,旭岳温泉,50214,11216,False,1,,,,,,,,,,,,,,,,,,,,,,
72373,越後湯沢温泉,53508,12903,False,1,51,0,0,1,0,0,0,0,0,3,3,3,0,2,8,2,1,1,25,0,1,1
72730,水上温泉郷,66661,16377,False,0,,,,,,,,,,,,,,,,,,,,,,
73420,箱根温泉,78614,24223,False,2,,,,,,,,,,,,,,,,,,,,,,
73476,下部温泉,55134,12950,False,1,,,,,,,,,,,,,,,,,,,,,,
73616,湯ヶ島温泉,47803,9783,False,1,,,,,,,,,,,,,,,,,,,,,,
73628,上諏訪温泉,55207,11646,False,1,,,,,,,,,,,,,,,,,,,,,,
83447,雲仙温泉,60770,14178,False,1,,,,,,,,,,,,,,,,,,,,,,
83452,小浜温泉,55373,12373,False,1,,,,,,,,,,,,,,,,,,,,,,
85413,南紀白浜温泉,74770,20187,False,1,,,,,,,,,,,,,,,,,,,,,,
101357,月岡温泉,53146,13943,False,1,,,,,,,,,,,,,,,,,,,,,,
105919,下風呂温泉,46782,10334,False,1,,,,,,,,,,,,,,,,,,,,,,
108232,昼神温泉,57214,12786,False,1,29,2,0,0,0,0,1,2,2,3,2,2,0,4,2,1,4,0,0,0,1,3
113028,白布温泉,49318,10690,False,1,,,,,,,,,,,,,,,,,,,,,,
116838,湯谷温泉 (愛知県),48009,9714,False,1,,,,,,,,,,,,,,,,,,,,,,
117054,湯野浜温泉,52057,10367,False,2,19,0,0,0,0,0,1,1,1,4,2,3,0,0,4,0,0,0,0,0,1,2
119828,蔵王温泉,68535,15516,False,1,32,1,1,5,1,0,0,1,1,6,0,1,0,0,4,1,0,0,7,0,1,2
120735,登別温泉,105369,23618,False,1,,,,,,,,,,,,,,,,,,,,,,
124888,白骨温泉,54379,12264,False,1,24,0,0,0,0,0,0,0,0,5,2,2,0,0,9,0,0,0,4,0,1,1
124947,豊富温泉,54000,13334,False,1,,,,,,,,,,,,,,,,,,,,,,
125119,羽根沢温泉,45371,9827,False,1,,,,,,,,,,,,,,,,,,,,,,
125203,矢指ヶ浦温泉,45858,9003,False,1,,,,,,,,,,,,,,,,,,,,,,
125214,養老渓谷温泉,54345,10794,False,1,,,,,,,,,,,,,,,,,,,,,,
125221,曽呂温泉,45449,9174,False,1,,,,,,,,,,,,,,,,,,,,,,
125227,亀山温泉,46759,9459,False,1,,,,,,,,,,,,,,,,,,,,,,
127999,須川高原温泉,49472,10359,False,1,,,,,,,,,,,,,,,,,,,,,,
128000,須川温泉,34535,9558,False,1,,,,,,,,,,,,,,,,,,,,,,
128014,黒石温泉郷,23245,6454,False,0,,,,,,,,,,,,,,,,,,,,,,
128657,草津温泉,115856,36941,False,1,,,,,,,,,,,,,,,,,,,,,,
129466,乳頭温泉郷,28503,8176,False,0,,,,,,,,,,,,,,,,,,,,,,
129811,湯の花温泉 (京都府),50214,10426,False,1,17,0,0,0,1,0,0,0,0,4,2,4,0,2,3,0,0,0,0,0,1,0
130703,花巻温泉郷,28115,7630,False,0,,,,,,,,,,,,,,,,,,,,,,
130806,日景温泉,54512,11320,False,1,,,,,,,,,,,,,,,,,,,,,,
130893,小野川温泉,49987,11775,False,1,,,,,,,,,,,,,,,,,,,,,,
130942,沢渡温泉 (長野県),49230,10031,False,1,,,,,,,,,,,,,,,,,,,,,,
131118,西山温泉 (福島県),49378,10864,False,1,,,,,,,,,,,,,,,,,,,,,,
131132,由布院温泉,81033,27767,False,1,,,,,,,,,,,,,,,,,,,,,,
131136,東山温泉,54050,11581,False,1,,,,,,,,,,,,,,,,,,,,,,
131143,別府温泉,137698,40307,False,1,,,,,,,,,,,,,,,,,,,,,,
131144,嬉野温泉,54268,13210,False,1,,,,,,,,,,,,,,,,,,,,,,
131153,鳴子温泉郷,25265,7034,False,0,,,,,,,,,,,,,,,,,,,,,,
131297,湯村温泉 (兵庫県),67277,15406,False,1,,,,,,,,,,,,,,,,,,,,,,
131305,本沢温泉,51334,11004,False,1,,,,,,,,,,,,,,,,,,,,,,
131316,高湯温泉,49753,10869,False,1,,,,,,,,,,,,,,,,,,,,,,
131324,甲子温泉,45395,9564,False,1,,,,,,,,,,,,,,,,,,,,,,
131336,松川温泉,36993,9524,False,1,,,,,,,,,,,,,,,,,,,,,,
131343,藤七温泉,46828,9643,False,1,,,,,,,,,,,,,,,,,,,,,,
131376,浅間温泉,64899,14773,False,2,,,,,,,,,,,,,,,,,,,,,,
131702,蔦温泉,50290,10524,False,1,,,,,,,,,,,,,,,,,,,,,,
131714,谷地温泉,38506,9122,False,1,,,,,,,,,,,,,,,,,,,,,,
132656,姥湯温泉,46794,9955,False,1,26,0,0,0,1,0,0,2,2,6,2,3,0,1,3,2,0,0,1,0,1,2
132691,川渡温泉,44236,8772,False,1,,,,,,,,,,,,,,,,,,,,,,
133093,花巻温泉,58184,16568,False,1,,,,,,,,,,,,,,,,,,,,,,
133530,松之山温泉,51125,10975,False,1,,,,,,,,,,,,,,,,,,,,,,
133566,滑川温泉,45723,9763,False,1,,,,,,,,,,,,,,,,,,,,,,
133583,浅虫温泉,62302,13259,False,1,,,,,,,,,,,,,,,,,,,,,,
133706,大鰐温泉,57804,12706,False,1,,,,,,,,,,,,,,,,,,,,,,
133723,貝掛温泉,49119,10588,False,1,,,,,,,,,,,,,,,,,,,,,,
133784,山田温泉 (長野県),50813,10385,False,1,,,,,,,,,,,,,,,,,,,,,,
134311,銀山温泉,54225,12152,False,1,,,,,,,,,,,,,,,,,,,,,,
134588,下呂温泉,65697,15031,False,1,32,1,5,2,1,0,0,2,2,4,2,2,0,0,2,2,0,0,5,0,1,1
134838,奥飛騨温泉郷,33127,8520,False,0,,,,,,,,,,,,,,,,,,,,,,
134889,濁河温泉,39505,10654,False,1,,,,,,,,,,,,,,,,,,,,,,
135477,天竜峡温泉,36951,9590,False,1,,,,,,,,,,,,,,,,,,,,,,
136445,沢渡温泉 (群馬県),48063,9876,False,1,,,,,,,,,,,,,,,,,,,,,,
136446,泥湯温泉,47376,10289,False,1,,,,,,,,,,,,,,,,,,,,,,
137011,川棚温泉,50850,11532,False,1,,,,,,,,,,,,,,,,,,,,,,
137218,熱海温泉,63735,16639,False,1,,,,,,,,,,,,,,,,,,,,,,
137226,宝塚温泉,48440,10898,False,1,,,,,,,,,,,,,,,,,,,,,,
137229,箕面温泉,47442,14210,False,1,,,,,,,,,,,,,,,,,,,,,,
137237,玉造温泉,56439,13948,False,1,33,0,2,1,1,0,0,2,2,3,2,2,0,2,2,0,0,0,12,0,1,1
137400,伊豆長岡温泉,38844,10188,False,1,28,0,0,0,0,0,0,2,1,4,2,4,3,1,2,2,0,0,4,0,1,2
137417,修善寺温泉,60444,13126,False,1,,,,,,,,,,,,,,,,,,,,,,
137433,土肥温泉,48806,10302,False,1,,,,,,,,,,,,,,,,,,,,,,
137643,指宿温泉,61664,17109,False,1,,,,,,,,,,,,,,,,,,,,,,
137673,秋保温泉,100132,24430,False,2,52,0,4,2,0,0,0,2,2,5,2,3,0,1,6,2,0,0,20,1,1,1
137685,榊原温泉,54510,13470,False,1,,,,,,,,,,,,,,,,,,,,,,
137697,龍神温泉,58088,12384,False,1,,,,,,,,,,,,,,,,,,,,,,
137708,奥鬼怒温泉郷,53217,11514,False,1,,,,,,,,,,,,,,,,,,,,,,
137744,雄琴温泉,74659,18757,False,1,,,,,,,,,,,,,,,,,,,,,,
137758,川治温泉,46737,9668,False,1,,,,,,,,,,,,,,,,,,,,,,
137763,南紀勝浦温泉,58884,13616,False,1,,,,,,,,,,,,,,,,,,,,,,
137769,椿温泉,46150,9919,False,1,,,,,,,,,,,,,,,,,,,,,,
137775,皆生温泉,76821,16894,False,1,,,,,,,,,,,,,,,,,,,,,,
137776,伊東温泉,46567,9795,False,1,,,,,,,,,,,,,,,,,,,,,,
137783,芦原温泉,55012,13345,False,1,,,,,,,,,,,,,,,,,,,,,,
137789,川原湯温泉,54088,11811,False,1,,,,,,,,,,,,,,,,,,,,,,
137982,大沢温泉 (岩手県),30505,8309,False,1,19,0,1,0,0,0,1,0,0,4,2,2,0,0,2,2,0,0,3,0,1,1
137983,大沢温泉 (静岡県),43927,8878,False,1,,,,,,,,,,,,,,,,,,,,,,
138247,川湯温泉 (和歌山県),34341,8850,False,1,,,,,,,,,,,,,,,,,,,,,,
138254,川湯温泉 (北海道),55748,12721,False,1,35,0,3,0,2,0,0,2,2,2,3,3,1,1,7,2,0,0,2,0,1,4
138287,温湯温泉 (宮城県),48153,10021,False,1,,,,,,,,,,,,,,,,,,,,,,
138288,温湯温泉 (青森県),29638,8187,False,1,17,0,0,2,1,0,1,0,0,3,2,2,0,2,2,0,0,0,0,0,1,1
139370,黒薙温泉,58103,14341,False,1,,,,,,,,,,,,,,,,,,,,,,
140512,五色温泉 (北海道),50477,10550,False,1,41,2,0,1,0,0,2,2,2,4,2,2,0,2,12,5,2,0,2,0,1,0
140516,五色温泉 (山形県),46328,9884,False,1,,,,,,,,,,,,,,,,,,,,,,
140523,五色温泉 (群馬県),47134,9170,False,1,,,,,,,,,,,,,,,,,,,,,,
140597,野沢温泉,54867,13339,False,1,,,,,,,,,,,,,,,,,,,,,,
140607,湯の山温泉 (三重県),61037,13825,False,1,,,,,,,,,,,,,,,,,,,,,,
140845,鶴の湯温泉 (秋田県),57338,13056,False,1,,,,,,,,,,,,,,,,,,,,,,
140856,鶴の湯温泉 (東京都),49125,10237,False,1,,,,,,,,,,,,,,,,,,,,,,
140884,鬼怒川温泉,70440,17750,False,1,49,0,5,2,0,0,0,2,2,6,4,6,2,0,3,2,0,0,11,0,1,3
140902,飯坂温泉,67263,17713,False,1,42,0,2,3,1,0,0,2,2,6,3,3,0,0,2,0,0,0,16,0,1,1
140963,山代温泉,37967,10934,False,1,,,,,,,,,,,,,,,,,,,,,,
140972,片山津温泉,44397,11570,False,1,,,,,,,,,,,,,,,,,,,,,,
140984,山中温泉,84965,23869,False,1,,,,,,,,,,,,,,,,,,,,,,
141064,日光湯元温泉,54958,13444,False,1,,,,,,,,,,,,,,,,,,,,,,
141130,湯西川温泉,62480,13499,False,1,,,,,,,,,,,,,,,,,,,,,,
141150,鹿教湯温泉,52762,11753,False,1,,,,,,,,,,,,,,,,,,,,,,
141237,粟津温泉,53997,12135,False,1,,,,,,,,,,,,,,,,,,,,,,
141249,和倉温泉,64027,15170,False,1,35,1,0,0,1,0,0,2,2,2,2,4,0,1,7,3,4,0,2,0,1,3
141502,大子温泉,29243,7678,False,1,,,,,,,,,,,,,,,,,,,,,,
141514,ニセコ薬師温泉,46977,9909,False,1,,,,,,,,,,,,,,,,,,,,,,
141558,万座温泉,53504,12131,False,1,,,,,,,,,,,,,,,,,,,,,,
