page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,クラブカラー,スローガン,マスコット,上位組織,下位組織,代表,別名,創立年,創設地,創設関係者,加盟国・地域,加盟組織,国,大会,後継組織,所在地,活動内容,競技,統括地域,解散年,設立目的,読み,過去の組織名
1064,日本プロ野球,281811,65969,False,2,,,,,,,,,,,,,,,,,,,,,,,,
2121,NASCAR,210967,50241,False,1,,,,,,,,,,,,,,,,,,,,,,,,
2580,日本中央競馬会,181610,47972,False,1,114,0,0,7,3,13,2,14,4,0,10,0,0,3,14,0,2,22,11,1,0,1,1,6
2724,欧州サッカー連盟,402148,48193,False,1,,,,,,,,,,,,,,,,,,,,,,,,
8798,日本サッカー協会,319731,86447,False,1,360,6,0,2,82,52,2,65,3,1,9,0,0,14,31,0,4,21,32,19,0,3,1,13
11718,日本将棋連盟,126712,26883,False,1,,,,,,,,,,,,,,,,,,,,,,,,
12306,国際サッカー連盟,235001,38963,False,1,,,,,,,,,,,,,,,,,,,,,,,,
12677,日本陸上競技連盟,65224,18845,False,1,173,0,0,2,9,15,5,7,6,3,9,0,50,2,32,0,1,11,8,5,0,3,1,4
16343,東京六大学野球連盟,178951,60543,False,1,,,,,,,,,,,,,,,,,,,,,,,,
18204,アジアサッカー連盟,517712,68092,False,1,,,,,,,,,,,,,,,,,,,,,,,,
28676,世界ボクシング協会,82975,22441,False,1,,,,,,,,,,,,,,,,,,,,,,,,
28678,世界ボクシング評議会,104002,31639,False,1,,,,,,,,,,,,,,,,,,,,,,,,
30764,南米サッカー連盟,198823,21689,False,1,,,,,,,,,,,,,,,,,,,,,,,,
33244,関西棋院,86124,20599,False,1,,,,,,,,,,,,,,,,,,,,,,,,
35609,日本棋院,104452,22026,False,1,,,,,,,,,,,,,,,,,,,,,,,,
39806,東都大学野球連盟,192656,68224,False,1,,,,,,,,,,,,,,,,,,,,,,,,
41557,国民野球連盟,72292,19671,False,1,,,,,,,,,,,,,,,,,,,,,,,,
41908,日本野球連盟 (プロ野球),96105,20696,False,1,,,,,,,,,,,,,,,,,,,,,,,,
42508,兵庫県競馬組合,92380,35744,False,0,,,,,,,,,,,,,,,,,,,,,,,,
45045,日本麻雀連盟,21513,6118,False,0,,,,,,,,,,,,,,,,,,,,,,,,
47351,全日本大学野球連盟,69591,22994,False,1,,,,,,,,,,,,,,,,,,,,,,,,
48632,地方競馬全国協会,37381,9624,False,1,,,,,,,,,,,,,,,,,,,,,,,,
56935,国際陸上競技連盟,150647,28036,False,1,,,,,,,,,,,,,,,,,,,,,,,,
58224,日本野球連盟,49310,16871,False,1,,,,,,,,,,,,,,,,,,,,,,,,
62388,アフリカサッカー連盟,267315,25270,False,1,,,,,,,,,,,,,,,,,,,,,,,,
69900,日本高等学校野球連盟,107466,26745,False,1,,,,,,,,,,,,,,,,,,,,,,,,
72427,特別区競馬組合,23776,7475,False,0,,,,,,,,,,,,,,,,,,,,,,,,
73985,日本オリンピック委員会,84445,21970,False,1,,,,,,,,,,,,,,,,,,,,,,,,
82257,北中米カリブ海サッカー連盟,250747,26975,False,1,,,,,,,,,,,,,,,,,,,,,,,,
82258,オセアニアサッカー連盟,209119,26024,False,1,,,,,,,,,,,,,,,,,,,,,,,,
86248,世界ボクシング基金,51255,12021,False,0,,,,,,,,,,,,,,,,,,,,,,,,
88089,スペシャルオリンピックス,88083,25604,False,0,,,,,,,,,,,,,,,,,,,,,,,,
89557,東アジアサッカー連盟,287037,28291,False,1,,,,,,,,,,,,,,,,,,,,,,,,
96631,国際ボクシング連盟,124616,33595,False,1,,,,,,,,,,,,,,,,,,,,,,,,
96632,世界ボクシング機構,116945,32083,False,1,75,0,0,0,0,18,1,21,3,0,2,0,11,2,4,0,2,4,2,0,0,0,1,4
104225,神奈川大学野球連盟,71414,22066,False,1,,,,,,,,,,,,,,,,,,,,,,,,
109558,全米ライフル協会,53778,17378,False,1,,,,,,,,,,,,,,,,,,,,,,,,
114990,日本ゴルフツアー機構,86191,24474,False,1,,,,,,,,,,,,,,,,,,,,,,,,
119751,岩手県競馬組合,70016,27884,False,0,74,0,1,1,0,0,0,0,1,0,0,0,8,0,49,0,0,1,9,3,0,0,1,0
123027,バスケットボール日本リーグ機構,30631,9659,False,0,,,,,,,,,,,,,,,,,,,,,,,,
125804,国際オリンピック委員会,158733,33033,False,1,,,,,,,,,,,,,,,,,,,,,,,,
