page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,上位リーグ,下位リーグ,主催団体,代表,優勝決定戦,別名,創立年,創設関係者,名前の謂れ,国・地域,大会,対抗リーグ,後継組織,所属チーム数,所属組織,最多優勝チーム,構成するリーグ,歴代所属チーム,競技,解散年,読み,賞,過去の組織名,開始年
2347,日本プロサッカーリーグ,802908,153261,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
10050,メジャーリーグベースボール,452656,125255,False,1,460,0,18,0,2,23,71,0,0,0,4,49,0,0,8,0,2,72,204,3,0,0,2,0,2
10985,パシフィック・リーグ,342580,75960,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
15864,セントラル・リーグ,277720,43566,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
16343,東京六大学野球連盟,178951,60543,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
19553,セリエA (サッカー),280701,46862,False,2,282,6,6,1,0,0,2,1,0,0,4,4,0,0,2,3,2,0,245,1,0,1,2,0,2
19562,セリエA,24705,6701,True,0,,,,,,,,,,,,,,,,,,,,,,,,,
20491,リーガ・エスパニョーラ,221922,43820,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
21648,アメリカンリーグ,91366,23798,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
21662,ナショナルリーグ,95404,25046,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
23471,NBA,354868,71380,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
26469,KBOリーグ,200543,68035,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
29629,台湾職業棒球大聯盟,62809,13889,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
39806,東都大学野球連盟,192656,68224,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
41557,国民野球連盟,72292,19671,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
41560,日本フットボールリーグ,413264,78177,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
41908,日本野球連盟 (プロ野球),96105,20696,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
41958,日本サッカーリーグ,145647,40384,False,0,386,0,2,0,0,0,23,1,5,0,3,6,0,11,0,6,0,5,276,2,3,1,41,0,1
41991,ジャパンラグビートップリーグ,216232,70038,False,1,164,0,3,1,1,0,0,0,0,0,3,33,0,0,4,2,1,0,98,5,0,0,9,1,3
42167,メジャーリーグサッカー,166865,34461,False,1,135,2,12,0,0,7,16,1,0,0,14,2,0,0,2,1,1,5,50,9,0,0,5,5,3
44282,ジャパンフットボールリーグ,80699,18895,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
44617,イースタン・リーグ,104816,22086,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
44625,ウエスタン・リーグ,105238,24087,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
47598,Xリーグ,155546,46512,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
47753,日本女子サッカーリーグ,435394,85164,False,3,,,,,,,,,,,,,,,,,,,,,,,,,
48186,プリメーラ・ディビシオン (アルゼンチン),322717,68780,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
48994,NFL,289610,95410,False,1,353,0,0,0,2,38,4,1,1,0,10,60,9,0,5,0,0,40,164,11,0,0,0,7,1
48995,NFLヨーロッパ,44759,10937,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
50147,Kリーグクラシック,172964,44997,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
51848,サッカー・ブンデスリーガ (ドイツ),216373,43839,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
51853,エールディヴィジ,241453,37760,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
58300,アメリカン・バスケットボール・アソシエーション,86676,22178,False,1,177,0,0,0,0,0,11,2,0,0,4,1,0,0,2,0,1,6,141,3,0,0,4,0,2
69786,ニグロリーグ,79614,21256,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
70003,新日本リーグ,31236,8882,False,0,,,,,,,,,,,,,,,,,,,,,,,,,
82208,リーグ・アン,174344,24898,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
82256,中国サッカー・スーパーリーグ,186266,26401,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
104225,神奈川大学野球連盟,71414,22066,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
105687,JBLスーパーリーグ,73900,19920,False,1,,,,,,,,,,,,,,,,,,,,,,,,,
105692,日本バスケットボールリーグ,122743,36823,False,2,,,,,,,,,,,,,,,,,,,,,,,,,
